protein1_ID	protein2_ID
P40208	Q12508
P40492	P40547
P40492	P53076
P40492	Q12508
P40547	P53076
P40547	Q12508
P53076	Q12508
P38857	P53157
P53157	P53311
P25574	P36039
P25574	P40540
P25574	P47133
P25574	P53073
P25574	Q12431
P36039	P40540
P36039	P47133
P36039	P53073
P36039	Q12431
P40540	P47133
P40540	P53073
P40540	Q12431
P47133	P53073
P47133	Q12431
P53073	Q12431
P38149	P53871
P00546	P24868
P00546	P24870
P00546	P24871
P00546	P32943
P00546	P20438
P00546	P20486
P20438	P20486
P43601	P53855
P07253	P21560
P40558	P52920
P36152	Q12181
P25374	Q6Q560
P36024	P36076
P36024	Q08438
P36076	Q08438
P36076	P40506
P36076	P53332
P36076	Q03941
P40506	P53332
P40506	Q03941
P53332	Q03941
Q06410	Q12092
Q06410	Q12421
Q12092	Q12421
P33893	P53260
P33893	Q03557
P53260	Q03557
P38138	Q04924
P53738	Q03920
P38251	P38629
P38251	P40339
P38251	P40348
P38251	Q12050
P38629	P40339
P38629	P40348
P38629	Q12050
P40339	P40348
P40339	Q12050
P40348	Q12050
P02994	P32471
P02994	P36008
P32471	P36008
P32521	P32790
P32521	P39013
P32790	P39013
P09064	P20459
P09064	P32481
P20459	P32481
P09032	P12754
P09032	P14741
P09032	P32501
P09032	P32502
P12754	P14741
P12754	P32501
P12754	P32502
P14741	P32501
P14741	P32502
P32501	P32502
P07260	P10081
P07260	P39935
P10081	P39935
P07260	P10081
P07260	P39936
P10081	P39936
P05453	P12385
P32769	P33309
P23644	P33448
P23644	P49334
P23644	P53507
P23644	P80967
P33448	P49334
P33448	P53507
P33448	P80967
P49334	P53507
P49334	P80967
P53507	P80967
P07213	P23644
P07213	P33448
P07213	P35180
P07213	P49334
P07213	P53507
P07213	P80967
P23644	P33448
P23644	P35180
P23644	P49334
P23644	P53507
P23644	P80967
P33448	P35180
P33448	P49334
P33448	P53507
P33448	P80967
P35180	P49334
P35180	P53507
P35180	P80967
P49334	P53507
P49334	P80967
P53507	P80967
P35181	P36000
P35181	Q00776
P35181	Q12028
P36000	Q00776
P36000	Q12028
Q00776	Q12028
P35181	P36000
P35181	P38700
P35181	Q12028
P36000	P38700
P36000	Q12028
P38700	Q12028
P27351	P38065
P27351	Q00381
P27351	Q99186
P38065	Q00381
P38065	Q99186
Q00381	Q99186
P38153	P46682
P38153	P47064
P38153	Q08951
P46682	P47064
P46682	Q08951
P47064	Q08951
P06244	P07278
P06245	P07278
P38251	P38629
P38251	P38630
P38251	P40339
P38251	P40348
P38629	P38630
P38629	P40339
P38629	P40348
P38630	P40339
P38630	P40348
P40339	P40348
P33895	P40014
P33895	P40460
P33895	Q04477
P40014	P40460
P40014	Q04477
P40460	Q04477
P16861	P16862
P28241	P28834
P21801	P33421
P21801	P37298
P21801	Q00711
P33421	P37298
P33421	Q00711
P37298	Q00711
P00127	P00128
P00127	P00163
P00127	P07143
P00127	P07256
P00127	P07257
P00127	P08067
P00127	P08525
P00127	P22289
P00127	P37299
P00128	P00163
P00128	P07143
P00128	P07256
P00128	P07257
P00128	P08067
P00128	P08525
P00128	P22289
P00128	P37299
P00163	P07143
P00163	P07256
P00163	P07257
P00163	P08067
P00163	P08525
P00163	P22289
P00163	P37299
P07143	P07256
P07143	P07257
P07143	P08067
P07143	P08525
P07143	P22289
P07143	P37299
P07256	P07257
P07256	P08067
P07256	P08525
P07256	P22289
P07256	P37299
P07257	P08067
P07257	P08525
P07257	P22289
P07257	P37299
P08067	P08525
P08067	P22289
P08067	P37299
P08525	P22289
P08525	P37299
P22289	P37299
P13712	Q04199
P13712	Q12495
Q04199	Q12495
P05986	P07278
P06244	P06245
P06244	P07278
P06245	P07278
P05986	P06244
P05986	P07278
P06244	P07278
P05986	P06245
P05986	P07278
