Entry	Gene names  (ordered locus )
P40357	YGR009C
Q12158	YDL003W
Q00416	YLR430W
P53011	YGL100W
P40510	YIL074C
P47008	YJL145W
P53304	YGR212W
Q04007	YDR186C
Q12483	YPL002C
P39723	YAL047C
Q08199	YOL031C
P53148	YGL093W
P38634	YLR079W
P36068	YKL130C
P17883	YPR189W
Q04172	YDR393W
P22215	YOR307C
P41808	YPR054W
P38699	YHR178W
P31377	YAL014C
Q8TGM6	YLR154W-C
P38967	YOL020W
P39933	YPR186C
P53147	YGL096W
Q12400	YOL093W
Q03322	YDR468C
P40061	YER093C
P12695	YNL071W
Q06144	YLR350W
P53124	YGL134W
P53427	YLR461W
Q02969	YPL112C
P40091	YER149C
Q08961	YPL208W
Q03195	YDR091C
P40693	YNL002C
Q12530	YLR145W
P11745	YMR235C
P23369	YGR076C
P32910	YNR003C
Q08285	YOL142W
Q06510	YPR140W
P43612	YFR040W
P17121	YDR389W
P53330	YGR275W
P03878	Q0065
Q06245	YLR166C
P40054	YER081W
Q05676	YEL059C-A
Q04398	YDR504C
P38200	YBL031W
P43682	YKL006C-A
Q12078	YLR034C
P32828	YDL013W
Q08204	YOL034W
P47821	YNL025C
P22438	YGR171C
Q05027	YMR236W
P27796	YIL160C
P33315	YBR117C
P32367	YBR123C
Q07527	YDL112W
Q05024	YMR233W
P39704	YAL007C
Q08649	YOR244W
P25340	YGL012W
P53233	YGR052W
Q04739	YER027C
P38785	YHR061C
P53260	YGR102C
Q00055	YDL022W
P18494	YER040W
P17695	YDR513W
P39003	YDR343C
Q08118	YOL015W
Q99393	YOL101C
P21190	YJR094C
P24583	YBL105C
Q08045	YLR104W
Q02796	YPL055C
P36146	YKR063C
P07866	YAL024C
Q06213	YPR168W
P38855	YHR160C
P38361	YBR296C
P35842	YAR071W
P32838	YNR032W
Q12017	YOR281C
Q04004	YDR183W
P38768	YHR034C
P40212	YMR142C
P10622	YDL130W
P10664	YBR031W
P40993	YDR478W
Q08162	YOL021C
P53599	YNR031C
Q12378	YDR066C
Q02608	YPL013C
P34758	YOR329C
P43589	YFR005C
P38850	YHR154W
Q04003	YDR181C
P38314	YBR214W
P40316	YDR113C
P20606	YPL218W
P29478	YML105C
P53207	YGR013W
