Protein,L2FC,p,q
Q03430,-0.635160096047709,0.00466076004306364,0.023438167541106
Q03435,-0.204103801244231,0.20188864896327,0.295684929742406
Q03496,0.677911250392068,0.0442079219199555,0.0957590521395085
Q03497,-0.411327345073241,0.003905031006493,0.0212808850363656
Q03503,0.352900730432514,0.07804084133487,0.145848227993322
Q03516,0.117123678746874,0.52096332356464,0.617438013113647
Q03529,-0.217409553128874,0.0255455429012985,0.0662517857187241
Q03532,0.150356679825679,0.0509541795923286,0.106295557919544
Q03533,-0.46097125621986,0.00420783761875464,0.0223015393793996
Q03558,-0.312330865229673,0.0026117116395973,0.0169386728136024
Q03559,-0.262229005450945,0.00569070052314494,0.0260146309629483
Q03579,-0.207892878668054,0.043538270869477,0.0948129820996805
Q03629,-0.0500715864317125,0.380607419781023,0.483166305350759
Q03631,-0.755307487246259,0.00459163177606128,0.0233499652379901
Q03640,-0.210681386536487,0.000823321303792713,0.00949899953219348
Q03648,-0.331257146512348,0.0765683424550554,0.143809422817025
Q03652,-0.325374626034743,0.192252396226371,0.285391740918971
Q03653,-0.49475204192861,0.0287106733224072,0.0712411147839103
Q03655,-0.363440103514577,0.00126853934121448,0.0118211138609877
Q03656,0.170360211144343,0.404427052718913,0.506766369716496
Q03660,-0.0926082344100467,0.723077555957186,0.78878494507891
Q03661,-0.185225477763453,0.219097740129268,0.315099144103476
Q03667,-0.458642720622663,0.0415206121548124,0.0919595869072689
Q03674,-0.733347250636722,0.00731935915883227,0.0305754510674373
Q03677,-0.317255369030498,0.0207007292054516,0.0576966914255479
Q03687,0.558794387382932,0.378749204341188,0.481528223810086
Q03690,0.204639577215034,0.000158065882101639,0.00451236088377287
Q03691,-0.370238466327463,0.0165168144337498,0.0495358395749596
Q03705,-0.104223074429621,0.122585987622712,0.202736065341901
Q03707,-0.719503280477919,0.00141506478363812,0.012224232521952
Q03713,0.0481901979302825,0.71979290220167,0.786324484466365
Q03714,-0.250305021550774,0.281514331770133,0.383632232109768
Q03723,0.168276279755349,0.332671068850344,0.436526214909233
Q03735,-0.445669444547124,0.00090556882602641,0.0101581644872354
Q03750,-0.842057060822914,0.0775779466250327,0.1453268686592
Q03758,-0.483392087880631,0.0809855192411562,0.150028881084654
Q03761,-0.188990403716864,0.0184059233161413,0.0534070931465795
Q03768,0.658409477672441,0.00161907166398264,0.0130759311529264
Q03769,-0.204328132479858,0.0362890545239914,0.0836794513564779
Q03771,0.00994824777193146,0.932406124747936,0.949766238782282
Q03774,0.622644219431591,3.71009149085771e-05,0.00302118338927042
Q03776,0.650031245709883,0.105094537853854,0.181230641789667
Q03778,-0.41207967668173,0.0359744440582209,0.083269248910784
Q03784,-0.074882356251069,0.673688696279458,0.747759181210707
Q03786,0.470998432707001,0.0100908731966437,0.0369635441501247
Q03790,-0.237040526111166,0.00451248380853472,0.0230864933311459
Q03796,0.798814830048947,0.0016962112833209,0.0134231090146503
Q03798,-0.0646151949692444,0.44382046210212,0.545228304143472
Q03799,-0.674466295994759,0.0379288365752193,0.0863909007863535
Q03833,0.965819536824545,0.0232552547846305,0.0621606179901234
Q03834,0.0854845112951826,0.323952063658481,0.428314708362903
Q03835,0.795207748000671,9.44241818012904e-06,0.00200798879427213
Q03856,0.161497864374749,0.194285859000002,0.287906349378771
Q03862,0.121040209309165,0.0805284583408305,0.149426986155414
Q03880,0.709286933035922,0.0036960136678079,0.0207221129937263
Q03919,0.666482473966176,0.0031883873013033,0.0187882383407138
Q03921,-0.0154961866283961,0.907704517557542,0.932162798533206
Q03940,0.0618835072732842,0.430406734307804,0.533213894365257
Q03941,0.49466830395729,0.000475892651922946,0.00755545165624324
Q03944,-0.484285361989067,0.0523518145798066,0.108278875033356
Q03954,-0.541315424922854,0.0424996218684321,0.0934275550082447
Q03957,-0.270785443444527,0.0442844126893129,0.0957989335727994
Q03973,0.143270884346454,0.0664512343004782,0.129915035589177
Q03976,-0.512025103984509,0.000772672147985674,0.00922853495058945
Q04002,-0.513313003532533,0.348199328221603,0.452352401887276
Q04004,-0.127855380540375,0.275552750429833,0.37749391335137
Q04013,0.437889894913148,0.00830451849765207,0.0331399138165127
Q04031,1.10282565445502,0.0271855217742325,0.0688158879538782
Q04053,0.94937474457338,0.029292393584552,0.072319246107245
Q04062,0.893968711116014,1.90666536545746e-05,0.00258696356785268
Q04066,0.0623571348113403,0.544665017230208,0.639053524194004
Q04067,-0.383016387972674,0.00278210111905809,0.0175856248319332
Q04080,-0.149912308466162,0.649862972447889,0.729187959822441
Q04081,0.0103646450293955,0.928170417694412,0.946873400547202
Q04119,-0.0890387873092556,0.442325371703429,0.544286301057648
Q04120,1.37284218943118,0.000260852265987865,0.00551302879981696
Q04170,-0.452486069882058,0.0190938013731741,0.0547141017277343
Q04175,0.512723421744772,0.0139478817863166,0.0447175945360927
Q04177,-0.0560663077608877,0.287847748474658,0.389643277233428
Q04178,0.148445760728802,0.395353171306719,0.498037380825132
Q04179,0.0319924840537792,0.729879336095575,0.79300150801928
Q04182,-0.16816523096939,0.0415336341809953,0.0919595869072689
Q04183,0.44943957688636,0.09749943124866,0.171980276024677
Q04201,-0.89677830538477,0.0149753034606326,0.0465412525653638
Q04213,-0.138680618612737,0.159196910750514,0.24657348003002
Q04215,0.156668229405114,0.294060710851803,0.396444328779537
Q04217,0.128494729489854,0.137782871627176,0.220556630750062
Q04223,-0.497910199272015,0.238540476972385,0.337418389445508
Q04225,0.212274368153345,0.0218503634822634,0.059598681053009
Q04228,-0.151868332385996,0.0131516820575348,0.0432038211817996
Q04233,-0.656167367847616,0.0306979314422687,0.0743767024658396
Q04235,-0.675179874092442,0.016963215497882,0.0506061802716056
Q04264,0.552001046451561,0.00973105423229118,0.0361344949985549
Q04279,-0.258707725156799,0.00510645601739597,0.0245791106403676
Q04299,-0.619557261876169,0.00600133575103768,0.0270437582764096
Q04304,0.617975851196992,0.0138258030152663,0.0445366797984647
Q04305,-0.0990601816326871,0.322947061476644,0.42743460002529
Q04311,-0.256366711021751,0.106930855364629,0.18323216364272
Q04322,-0.196605496101792,0.00746322046427573,0.0307016376135974
Q04336,0.510673001757436,0.0114767885187318,0.0395737025034365
Q04338,-0.0712725291241255,0.503269823933716,0.599821237801534
Q04341,-0.999317872042088,0.00153428047149465,0.0125459720480223
Q04344,0.123266232792971,0.376153836691557,0.478946626898559
Q04347,0.135477668084755,0.0861825147030462,0.157167252619749
Q04370,-0.783061830154134,0.0578348789297538,0.117119945868493
Q04371,0.490481853747892,0.00924422857288408,0.0354710671031932
Q04372,0.595982685197591,0.0166865174454822,0.0500005893772752
Q04373,0.770296971617009,0.00557844637861654,0.0257794143273396
Q04401,0.53537116330102,0.00691996781256815,0.0294881040455165
Q04408,-0.164404102566038,0.168727718460944,0.257270813357381
Q04409,0.22611134359298,0.139173384658475,0.222486322230187
Q04410,-0.12407483957869,0.383410069759951,0.486178301542338
Q04418,0.453220526286744,0.00923615256841251,0.0354710671031932
Q04430,-0.133961318825989,0.299520056037779,0.40188767012664
Q04432,0.100007294970085,0.556220640213385,0.647905361127679
Q04437,-0.519686814746295,0.10804125865751,0.184530976810697
Q04439,-0.182372590952519,0.00727557964326637,0.0304300445745494
Q04458,0.462407064776072,0.0229476842859523,0.06158112745091
Q04472,0.530515764063781,0.0410348916437529,0.0914427336122589
Q04477,-0.642571471534458,0.023199846947324,0.0620812426898183
Q04489,0.427344113612759,0.102000555712144,0.178067876981777
Q04491,0.990613500034647,0.0099969627773064,0.0367385674329613
Q04493,-0.0760876603983233,0.452166345715438,0.553300232563768
Q04500,-0.0548609366960559,0.664781399920459,0.740538098039473
Q04533,0.0278479080097802,0.89301711448955,0.919864577087322
Q04562,-0.851510765939269,0.0108010046434731,0.0384842518389294
Q04598,-0.968504972898823,0.021908994636199,0.059691011892359
Q04599,-0.634010719232849,0.00350233633906787,0.02006744064547
Q04600,-0.0321186223516047,0.627650411412388,0.708246904694219
Q04602,0.151583448219326,0.604764809829967,0.688838896891621
Q04603,0.152844680610718,0.24748078154363,0.347169069890816
Q04632,0.0423068174607996,0.745439080642261,0.80500775598171
Q04636,0.0626763341842523,0.334360792074141,0.4378964504693
Q04651,0.513929393327526,0.00819250601516356,0.032808713581387
Q04660,-0.115681034707244,0.0959115502402646,0.169974910352653
Q04693,0.247162683641898,0.0350364229968656,0.0817984316754304
Q04697,-0.282659179041484,0.0225817805410393,0.0611312047846809
Q04728,0.224210838118659,0.00690448513507158,0.0294591365763054
Q04749,-0.503843538524107,0.00151684112487379,0.0124739549083789
Q04767,0.439188971857407,0.351872636167829,0.456250757599876
Q04772,-0.31838163017801,0.126035335997417,0.206427744907407
Q04773,0.433600436801548,0.0218110875164143,0.059598681053009
Q04779,0.0968334988646351,0.288814377633542,0.390613384742015
Q04781,-0.0559678395496223,0.549711160894735,0.641644961374722
Q04792,0.410157301396132,0.0935997978880342,0.166924560692015
Q04839,-0.630746083907541,0.0044874949955942,0.0230281135023533
Q04847,0.496301667272923,0.183548137789466,0.275241062503036
Q04867,-0.407795051801078,0.0582559778909332,0.11776178605843
Q04868,0.11883668125455,0.43533888243974,0.538144857593148
Q04869,0.523163909667094,0.00235730413123016,0.0160884821189793
Q04894,0.806625171678675,0.00483133125879156,0.0238195866712514
Q04924,-0.0156539233180426,0.867969793239242,0.900628185581985
Q04934,-0.36539341144762,0.0299307256239517,0.0731975640349273
Q04935,-0.000977474098716497,0.995344647787587,0.996519789048257
Q04947,0.445660839383066,0.0366089042607365,0.0842621513551781
Q04951,-0.216102781040942,0.0976094336966711,0.172084822816584
Q04958,-0.305493768497196,0.00165987400773579,0.0132789920618863
Q04964,-3.04916258334825,9.25225133513847e-05,0.00382727274741338
Q04969,-0.257732962170878,0.0902008603880086,0.162141663188196
Q04991,-0.34292217870752,0.494647629835022,0.592392776938194
Q05015,-0.074661047368586,0.386894449774433,0.489498684682908
Q05016,0.0785081003695284,0.337829027477647,0.441416048229652
Q05021,0.221925856216743,0.084752954057,0.155311734284897
Q05022,0.197237866893614,0.00880662608740632,0.0344943137280395
Q05024,0.592684464144418,0.00975480357543245,0.0361344949985549
Q05027,-0.16766312198058,0.122289121459202,0.202442508535683
Q05029,0.0814341814443307,0.569653655748688,0.658577096216615
Q05031,0.0997204553343276,0.709702076568912,0.777303662809736
Q05040,0.0584875940741738,0.387410208378183,0.489968466375391
Q05050,-0.119290377013904,0.10930822498196,0.186131274668077
Q05123,-0.256366370713744,0.00953588332821598,0.0359156623770677
Q05166,-0.811901374390427,0.0053978920749742,0.0253596259256406
Q05359,0.274917896742932,0.0147372016455602,0.0461149335624911
Q05468,-0.181385879588202,0.22604227290079,0.323108044534125
Q05498,-0.251260541342605,0.0390662461001548,0.0884437229578496
Q05506,0.776471701474919,8.78169733077735e-05,0.00377057181594896
Q05515,-0.0943296096799217,0.447052081708799,0.547874476203162
Q05518,-0.265339763779203,0.000815507004007848,0.00946235820488008
Q05521,-0.561106353670052,0.00961667674752836,0.0360838136367436
Q05533,-0.316060714967033,0.0853029143074838,0.156066604817144
Q05543,-0.0739727820078103,0.405666697782734,0.507944421882256
Q05567,0.686906642993975,0.00849177625624918,0.0336496554453238
Q05580,-0.0842493407396946,0.370832248988956,0.473949882656571
Q05583,-0.360585684788295,0.0403677443221956,0.090440811585791
Q05584,0.038645118175362,0.614445792726274,0.69797514649494
Q05635,-0.36488631856348,0.246292234803089,0.345930956708935
Q05636,0.488472043083769,0.000111786448911261,0.00421310705229996
Q05672,1.27117744553986,0.0186567106548285,0.0539042270367788
Q05775,0.130793760568089,0.107087540348053,0.183269897507869
