Protein;WT_Control_1;WT_Control_2;WT_Control_3;WT_Control_4;WT_HU_1;WT_HU_2;WT_HU_3;WT_HU_4
P25568;20888.08984375;40937.90234375;70220.84375;58843.74;63584.984375;23166.2265625;0;32956.29296875
P25569;33294.87890625;14558.00390625;20507.546875;84516.57;20570.193359375;34285.5390625;22235.0625;15814.7841796875
P25572;15173674;26300006;23978228;13360.26;23906834;8853741;15348657;18774484
P25573;120185.8203125;111021.125;107115.421875;47156.11;98689.140625;121272.9375;136761.28125;98643.8046875
P25574;326564.1875;183205.234375;189773.328125;87181.39;244969.5625;296289.8125;282994.71875;264116.875
P25576;78499.5625;66574.75;80167.5703125;29673.39;69750.53125;67848.5078125;69124.5390625;73055.5
P25578;9815.0166015625;3281.94604492188;4893.4033203125;59370.29;2760.41845703125;6789.86572265625;4736.65234375;3372.5263671875
P25579;25382.1328125;48323.796875;36754.734375;64791.91;38383.4375;27545.107421875;24767.65625;35989.34375
P25580;40609.4140625;17505.98046875;39483.1796875;47923.33;34515.83984375;26921.75390625;37403.78515625;37015.9375
P25582;208187.4375;194953.171875;184150.078125;96484.76;192419.625;197853.03125;209923.171875;175096.390625
P25586;348896.34375;299285.9375;230746.9375;37159.15;285824.25;311564.375;355129.6875;265113.71875
P25588;34793.875;41952.61328125;31118.427734375;124326.36;29651.94140625;36922.96875;51607.3515625;32833.1015625
P25604;43744.75390625;26044.46875;35588.453125;43330.37;26125.2578125;52927.41796875;24153.291015625;42401.0859375
P25605;1970253.25;2544720;2195433;33986.73;2185773.5;1890866;1825910.5;2150741.75
P25616;58093.3671875;30241.287109375;60203.19140625;36278.45;34658.94140625;24036.25;57259.5;27476.30078125
P25617;341896.375;278138;258579.75;33593;273963.84375;331988.96875;351412.125;251974.96875
P25618;168042.59375;149991.015625;185366.1875;107882.64;138067.796875;182876.390625;142782.71875;179229.796875
P25619;14422.666015625;25366.458984375;16146.607421875;37044.77;28116.021484375;48251.52734375;7840.48046875;46855.43359375
P25623;502789.65625;503021.6875;526657;96137.43;531183.625;492527.5625;456007.09375;541103.5
P25626;101895.4921875;152480.5;149279.8125;19393.72;122416.65625;119944.15625;98210.203125;136577.796875
P25627;61560.99609375;58150.078125;51856.15234375;30742.16;42408.29296875;73545.2109375;58733.59375;56464.92578125
P25628;25037.673828125;91289.15625;230332.875;71613.07;67898.8828125;42168.1796875;26451.69921875;64359.8828125
P25631;337282.96875;504201.96875;473874.59375;24694.21;455786.6875;324055.375;325704.75;409243.9375
P25632;130215.9140625;116920.234375;115065.40625;54164.97;97342.0234375;130307.1484375;146016.75;97061.7265625
P25635;155182.78125;66707.75;81439;103983.3;68912.359375;202652.03125;106870.953125;91966.1875
P25637;20392.482421875;32274.669921875;32652.5390625;29017.47;19755.20703125;24202.591796875;17045.130859375;48940.10546875
P25638;40499.79296875;33008.66015625;44570.47265625;12511.17;38218.46484375;44733.9921875;50598.31640625;30871.29296875
P25639;23111.3671875;28952.69921875;20185.494140625;70921.59;23236.73828125;16079.98046875;15015.921875;45145.16796875
P25641;9499.9775390625;21217.69921875;22453.45703125;58435.05;24394.6953125;4307.29833984375;3128.79614257812;18051.23828125
P25642;152934.59375;228363.453125;239556.46875;16380.18;211440.421875;187661.71875;162033.859375;210813.734375
P25644;629431.75;740318.8125;752186.875;88511.36;728181;666089.75;604963.25;754807.5625
P25651;26639.244140625;36700.31640625;13335.0673828125;21751.42;30949.90625;25613.0859375;29562.560546875;25421.671875
P25654;101789.53125;95395.4453125;99078.203125;20703.51;69314.34375;106920.2421875;87876.546875;100350
P25655;256356.640625;101260.7890625;114271.5078125;240279.43;151416.78125;264476.15625;204944.8125;147111.984375
P25656;59416.81640625;49887.65625;53431.375;44982.47;39942.83203125;64019.24609375;39091.74609375;57469.5
P25659;24603.2109375;21607.28515625;23517.15625;26755.88;24977.203125;13600.2353515625;33595.95703125;51753.22265625
P25694;3824223.25;3830495.5;3965282.5;91995.98;4232523.5;3433347.75;3688301;4038214.5
P25719;7769486.5;10716408;10951726;19918.74;11300082;7964089;8215502.5;9914010
P25808;51609.54296875;51262.5546875;50676.40234375;69422.27;44101.60546875;60091.5625;54380.93359375;42654.08203125
P25847;498115.6875;289349.375;233177.59375;108884.2;239861.46875;536208.3125;523037.46875;292406.875
P26263;61160.66015625;17042.685546875;48818.33984375;61580.42;30923.876953125;42508.05859375;30550.0234375;26623.736328125
P26321;16677673;22151166;20006190;33714.82;20609204;16294876;18326884;20117056
P26570;142458.265625;97906.3203125;85147.890625;77490.63;91955.8046875;160801.8125;163159.28125;103129.4921875
P26637;3673219.75;3625340.25;3439001.75;124141.56;3569875.25;3539266;3795450;3415257.75
P26754;219595.359375;221489.5;173719.796875;29936.14;168840.453125;222599.421875;240765.78125;167108.40625
P26755;241677.625;389275.21875;320158.375;13815.77;306174.625;216229.109375;216651.765625;319793.15625
P26783;21660314;34323608;30770178;25038.61;32811878;21711648;23016914;30179882
P26784;12795466;21050798;18980602;22201.12;18370868;12569611;13621140;17366678
P26785;15188725;29061932;24517122;22249.12;22967006;15073576;14983065;25534542
P26786;8042347.5;13414223;11876182;21622.19;10908066;7806997.5;7475616;11519535
P26793;149893.234375;190536.90625;159025.53125;43279.15;171005.046875;164843.734375;156676.390625;158536.015625
P27344;87401.1171875;94390.234375;63357.5625;22665.03;87557.34375;60912.58984375;70564.65625;62363.41796875
P27351;32153.037109375;15241.341796875;19759.78125;80453.45;17146.513671875;29606.80859375;22536.6328125;26100.265625
P27466;311711.9375;247281.296875;261445.75;50296.2;285243.3125;320599.1875;352268.71875;246359.859375
P27472;318012.75;208287.953125;247182.796875;80078.85;277073.625;349053.28125;301285.09375;367778.875
P27476;1559384.5;1636197.625;1513071.875;44535.17;1863695.5;1450837;1538474.875;1675665.5
P27514;212558.21875;135988.96875;128082.1953125;99490.35;94868.546875;215452.265625;269492.9375;117687.546875
P27515;24685.7265625;62889.23828125;47232.6015625;56296.13;39732.36328125;15140.361328125;5219.51220703125;47448.82421875
P27614;1833729.625;1292147.75;1384573.5;64597.03;1357102.125;1987029.875;1984014.375;1532332.375
P27616;3207774.5;2145154.75;2142651.25;34603.44;1791680.375;3273464;3021661.5;1941362.75
P27637;139845.453125;231936.34375;199382.390625;78981.46;191054.734375;164836.703125;155009.1875;166903.265625
P27680;12690.7734375;8875.5888671875;12682.16796875;36330.87;30883.64453125;16224.9384765625;12320.6787109375;16271.2294921875
P27692;876806.5625;919028.875;886661.875;115649.83;890645.5;879278.75;893803.4375;891595.6875
P27697;97510.59375;96395.875;118017.6171875;56741.57;103590.3828125;114165.046875;114162.0390625;103825.46875
P27705;63858.484375;82226.1484375;78987.328125;55531.96;117380.0234375;77515.015625;79094.296875;86067.3984375
P27801;29210.61328125;8336.08203125;6064.97705078125;107398.42;4735.05224609375;38818.71484375;17296.197265625;4318.51318359375
P27809;562644.625;387440.25;432283;51386.69;414083.875;561665.75;567724.5;447564.28125
P27810;536773.75;252102.734375;298252;46022.07;356230.71875;592754.4375;429876.125;417492.625
P27825;38077.40234375;42987.05859375;97548.0703125;56967.93;38803.45703125;38135.0078125;45890.80078125;46483.0859375
P27882;26353.205078125;33688.35546875;35577.125;21639.47;26586.931640625;20813.55078125;19452.1875;29349.84375
P27895;36997.1875;87545.140625;71975.171875;113310.81;59751.55078125;69473.328125;64594.1484375;61170.0390625
P27929;70163.7265625;41676.26171875;47392.1171875;56355.98;50813.7109375;69804.8828125;84016.21875;54332.70703125
P27999;268454.34375;484353.71875;410937.4375;14288.13;371498.34375;333306;280098.5625;363149.25
P28000;462784.5;729855.5;661888.875;16150.89;579433.8125;566995.6875;496898.96875;559933.25
P28004;1972.85729980469;9074.85546875;60.3542900085449;42482.74;0;1117.38647460938;3138.72802734375;3057.75561523438
P28005;12990.150390625;9135.9599609375;2912.85400390625;19573.55;0;0;0;0
P28007;538507.6875;663291;607664;21480.35;514875.125;517501.6875;507614.59375;519595.46875
P28239;147894;177741.15625;142876.140625;35572.6;177219.59375;116096.9921875;182826.09375;173950.875
P28241;2505934;1881531.125;2232176.25;39739.45;1806943;2653143.75;2193109.25;2350000.75
P28263;34848.28515625;3222.92358398438;25305.26171875;24632.85;5444.48681640625;43020.890625;27023.203125;20234.345703125
P28272;5426013.5;4443590.5;4565861.5;34800.92;4897006.5;5220721.5;5533550;4500934
P28273;553080.75;498293.375;479089.65625;140427.69;459054.21875;613205;568649.4375;491058
P28274;948237.4375;647370.375;591618.875;64710.28;585653.9375;922159.625;800677.3125;749751.8125
P28319;817751.1875;611404.8125;885586.1875;24268.31;731178.375;833874.1875;613329.8125;763447.75
P28320;28127.53125;39036.42578125;30737.177734375;32311.94;39797.03515625;23109.693359375;24160.09375;29712.15234375
P28321;280580.59375;249572.5625;261942.546875;35562.59;269875;272103.21875;305386.625;270434.78125
P28495;431282.46875;417938.3125;541234.6875;30699.33;400327.71875;389617.65625;479226.03125;430603.15625
P28496;247735.9375;123214.828125;163767.8125;48992.05;242184.34375;170383.703125;288734.59375;179543.984375
P28625;157462.03125;106549.21875;126091.3359375;41637.34;122419.8046875;161118.515625;150979.734375;115738.9140625
P28707;3539288;3636311.5;3467602;24081.67;4182230.75;3685701.75;3710907.5;3820938
P28708;34956.9765625;49316.76171875;42087.22265625;58956.13;26694.111328125;36085.9609375;42204.25390625;28020.521484375
P28737;66410.6875;73245.1875;61185.16015625;40343.45;55656.8046875;62305.2421875;59539;59454.5625
P28743;24610.65234375;22181.736328125;11654.3056640625;78378.18;18581.130859375;25367.07421875;21761.66015625;17658.521484375
P28777;1258993.125;1582598.625;1392075;40838.31;1451676.375;1170231.125;1362539.625;1348048.75
P28778;5469.7578125;6911.1689453125;6571.19970703125;15020.67;5207.44873046875;5875.66015625;8213.0771484375;5760.748046875
P28789;195081.1875;166831.6875;179079.71875;36674.56;209452.734375;205072.734375;173747.625;202355.515625
P28791;91073.734375;57541.82421875;54885.21484375;43882.02;41691.1640625;63898.49609375;62131.27734375;38916.30078125
P28795;0;0;0;0;0;6828.341796875;9701.8564453125;38106.56640625
P28817;257413.75;317892.125;310749.125;56288.39;284015.71875;234750.65625;241531.8125;304087.625
P28834;1851921.625;1884727;1806293.125;39324.03;1874237.25;1647152.375;1828160.875;1937728.625
P29029;35859.36328125;87241.875;97058.6796875;59014.85;61918.8046875;26150.892578125;26517.689453125;105155.0234375
P29055;108228.359375;95546.1640625;105955.3125;38200.3;95430.703125;110572.7578125;99696.59375;108046.25
P29056;18531.853515625;12311.2353515625;14155.8837890625;66906.46;13183.326171875;9122.34375;17026.775390625;12391.125
P29295;110779.7421875;89723.3359375;75539.5625;57340.02;54763.87109375;84276.625;108666.3125;64750.1953125
P29311;8258545;9792711;10860044;30091.39;9242194;8510181;8021300.5;9726393
P29340;0;0;0;0;10.5957803726196;160.432205200195;88.2331085205078;0
P29366;60253.92578125;72030.625;84947.9765625;61605.37;74487.078125;66738.5859375;73706.828125;65945.8984375
P29453;4347829;5134304;5053525.5;28111.77;5741965;4236889;4785162;5290429
P29465;48132.03125;69064.1328125;65507.2421875;131601.22;57624.140625;44279.125;53100.17578125;55896.7265625
P29468;307531.0625;230005.65625;246690.59375;64552.06;219315.859375;303211.34375;246203.90625;255412.109375
P29469;58393.7265625;57124.9453125;52996.0390625;98779.52;47077.25;56404.77734375;50712.4765625;58123.03125
P29478;296480.28125;486313.6875;393866.03125;31169.81;428751.53125;311671.90625;325921.0625;363203.875
P29496;118038.046875;100407.9453125;117625.8515625;86410.96;100968.28125;119478.3671875;102627.7734375;124374.8125
P29509;7700661;5969173.5;6611553;34238.07;6870663;8383181;8529926;6479690.5
P29539;2713.03247070312;0;1012.88452148438;217930.6;2496.4501953125;852.582092285156;3638.330078125;1219.310546875
P29547;6075817;4498531.5;5125564;47087.72;5271794.5;6337871.5;6190092.5;5466104
P29703;97098.828125;67760.5078125;81758.5703125;37507.74;49305.265625;126852.9296875;54007.24609375;111933.6484375
P29704;341027.84375;92656;126281.4296875;51719.9;130533.234375;437256.75;312146.09375;170085.078125
P29952;3209206.5;3914231;3490527.5;48188.72;4104659.5;3436297.75;3717201.5;3496334.75
P30402;30027.0859375;823.224670410156;18876.41796875;24810.59;4045.15698242188;46700.14453125;25550.025390625;17412.033203125
P30605;189636.484375;644536.8125;427138.3125;63569.7;556465.625;157900.5;152299.859375;449825.9375
P30606;9372.0576171875;27798.4921875;55242;66710.14;81210.3515625;14508.412109375;23529.03515625;51752.5
P30619;149211.875;222654.6875;177409.40625;83480.42;184010.71875;124087.703125;159158.15625;175421.9375
P30624;1625652.125;1362237.375;1400294;77866.29;1323540.125;1701436.125;1519246.875;1566473.625
P30656;777781.4375;830855.8125;736502.4375;31636.61;654542.4375;687369.8125;606408.1875;929839.25
P30657;522449.5;225494.125;317531.4375;29443.37;331761.84375;442293.59375;434436.6875;376696.4375
P30665;180746.109375;218813.84375;200390.328125;105003.43;202459.734375;211943.203125;175285.8125;223399.109375
P30771;195485.703125;195081.78125;184003.015625;109430.14;147875.71875;194292.265625;169060.15625;153016.96875
P30822;1065058.75;386395.5;411064.53125;124104.17;440635.84375;1071071.5;705333.625;503208.21875
P30902;795147.875;786701.3125;718405.375;19809.6;802675.8125;984126.125;908279;789852.8125
P31109;202034.4375;439211.125;487669.875;13201.26;586326.5625;67572.28125;111434.1796875;430253.125
P31115;13214.0615234375;15602.646484375;14313.708984375;50888.76;17088.779296875;11119.115234375;11668.8994140625;17335.982421875
P31116;5489263.5;4618224.5;4753704.5;38502.12;4621564.5;5823411;4827486.5;5115882.5
P31244;21859.001953125;6714.08154296875;10008.24609375;91430.29;8021.90869140625;17069.2421875;18083.896484375;18217.21484375
P31334;60995.2578125;69437.3828125;73992.109375;29790.44;68018.640625;60369.76953125;65076.94140625;86709.5234375
P31373;9499261;7917507;8973740;42542.08;8148509;9920472;9178854;8321734
P31374;417049.625;532581.125;478523.3125;152331.99;495395.40625;447222.25;456914.5;488992.40625
P31377;25236.69921875;7031.048828125;79257.21875;29048.74;16304.4423828125;34114.609375;23434.470703125;2365.80151367188
P31378;12977.044921875;37151.640625;26823.970703125;45576.9;25554.421875;25123.08984375;16654.94140625;33110.09375
P31380;460680.65625;411477.28125;376799.5625;128506.78;459130.53125;514992.125;513216.125;429279.65625
P31381;112821.8671875;725.979858398438;772.325805664062;58317.3;20254.068359375;12601.74609375;286646.21875;30547.537109375
P31382;1221281.875;1317608;943295.9375;86869.74;1177438.625;1181994;1215405.125;1250062.875
P31383;1442548.25;671433.125;718854.125;70907.38;789666.5625;1713607.125;1447790.25;818541.375
P31384;162600.625;144555.484375;129996.4765625;94669.73;140930.4375;168581.875;134264.84375;158934.796875
P31385;35036.13671875;65793.1875;45541.625;46977.85;33683.421875;32043.078125;27320.587890625;33107.90625
P31412;860431.1875;770985.5625;760806.8125;44188.53;647801.375;961425.4375;860145.6875;711217
P31539;3681794.75;2601169.25;3299376.5;102034.97;3216144;3506573.5;3547814;3282478
P31688;1820113.75;979469.0625;1343452.25;102976.25;1358527;1873805.375;1760472.25;1549116
P31755;101620;37573.40625;37396.46875;55155.61;59894.7421875;85739.4453125;87707.21875;49632.3984375
P31787;3801258.5;2815062;2415689.25;10061.36;4457960;4903815;4679240;3532183.75
P32047;339356.90625;719517.9375;545244.75;49210.15;467341.8125;381820.0625;381460.09375;353368.375
P32048;36890.53515625;26047.390625;50599.625;66128.25;34433.859375;28343.67578125;26539.228515625;18926.994140625
P32074;1375043.625;1093406;1126712.125;104831.19;1008341.1875;1387820.5;1352773.625;1105173.875
P32178;294308.1875;313179.75;288007.8125;29747.17;275979.5625;305683.03125;320252.1875;273084.90625
P32179;426731.875;319502.0625;313612.0625;39149.27;332645.5625;435357.25;468559.90625;327079.1875
P32190;2001.26611328125;0;401.888305664062;79824.33;0;0;0;0
P32191;182858.703125;87803.1484375;115758.6171875;72388.92;106706.859375;186953.390625;159809.4375;143330.125
P32259;63059.77734375;40963.56640625;33289.1484375;111296.76;36760.765625;57110.38671875;41991.56640625;41322.83984375
