Protein;WT_Control_1;WT_Control_2;WT_Control_3;WT_Control_4;WT_HU_1;WT_HU_2;WT_HU_3;WT_HU_4
P40088;718796.625;613512.75;636353.625;45722.34;464152.4375;782754.9375;934730.5;718246.625
P40089;434077.28125;630212.875;602387.25;10422.99;577052.25;453839.6875;443948.28125;513415.5
P40091;51245.6875;82709.0546875;69165.9921875;48164.61;65500.921875;55356.62890625;63559.93359375;60967.8359375
P40093;752410.625;824141.875;707798.625;38174.45;755146.125;749188.625;689079.4375;739257.625
P40094;94510.390625;81412.3046875;100836.3203125;92544.17;99472.9609375;64775.265625;82165.90625;90658.140625
P40096;116153.3984375;286209.75;215262.1875;15516.63;178115.953125;114708.171875;93424.84375;270906.8125
P40098;79942.796875;47814.1171875;32409.380859375;27697.93;42286.9921875;81145.8984375;66434.859375;48202.70703125
P40099;91876.4375;28227.9921875;26268.16015625;24058.72;30030.919921875;90544.8125;38436.0078125;67515.8203125
P40106;6896003;5827195;6496256;27813.77;6801200;7562567;8104576;6316242
P40107;125412.453125;60350.6640625;80812.859375;37018.69;70664.640625;134974.421875;120018.6640625;117141.0625
P40150;39986408;66689580;54181232;66594.57;54211176;39052240;40664320;48486432
P40151;2816.22778320312;0;557.374694824219;66544.1;0;2994.8291015625;3266.78564453125;0.236955881118774
P40152;1593.5517578125;29413.935546875;60169.18359375;37150.89;32773.50390625;8011.548828125;10176.3017578125;41625.94140625
P40154;29011.171875;24310.142578125;22443.37890625;36153.9;14078.7158203125;55478.9609375;39712.21484375;15851.974609375
P40155;28164.75;42315.3046875;29228.74609375;23169.36;28114.294921875;30062.515625;20097.51171875;67627.6875
P40157;106684.53125;138922.3125;121237.1015625;88845.74;111709.6328125;96705.4375;103540.0390625;126822.3828125
P40159;1290640.25;2359463;2107862.5;20151.14;1757298.5;1592845.125;1449985.375;1708524.375
P40160;215949.34375;249441.6875;197748.234375;49124.87;205733.953125;199138.203125;232502.09375;200656.234375
P40161;174847.8125;158232.78125;130255.1640625;51621.09;151637.8125;224547.671875;152208.890625;148500.984375
P40164;22941.29296875;10707.7666015625;13449.5498046875;98052.72;9135.455078125;25100.546875;19166.517578125;16652.376953125
P40165;129522.171875;44600.84765625;79751.5234375;27520.91;91203.6484375;158870.3125;101759.390625;81932.7734375
P40168;46770.359375;20934.990234375;51711.1953125;28320.81;53718.37109375;58830.12109375;46918.33203125;49753.64453125
P40169;235858.78125;70176.15625;161516.265625;34081.33;166296.34375;231404.734375;216352.3125;153274.78125
P40185;4688090;3775720;4605075.5;15908.28;5279384;4217492.5;4598752.5;3788756
P40202;649244.25;668154.4375;673783.8125;27329.89;636816.75;706895.5625;733836.25;562714.375
P40204;111470.6875;231488.734375;76504.625;8481.83;165592.140625;95602.3046875;76086.25;83290.609375
P40207;63689.9609375;152137.296875;250163.734375;27921.12;225556.25;86993.8203125;67766.9921875;150679.890625
P40208;40588.94140625;65202.25390625;58441.53125;51729.34;56982.25390625;58832.62109375;62874.046875;53465.94921875
P40210;96857.6015625;104126.8984375;99894.703125;55859.35;103808.53125;88988.0078125;95771.015625;130355.0078125
P40212;20300768;37740152;29618102;22525;31648094;21678030;21704290;28212900
P40215;865592.875;434117.375;493381.96875;62774.18;473059.53125;903837.875;734247.875;533008.5
P40217;1359747.75;1236725;1240772;38755.44;1168990.25;1396211;1226316.25;1364322.75
P40218;27669.42578125;35789.37109375;41544.265625;25915.32;43085.36328125;52822.90625;39543.7265625;25702.654296875
P40219;166856.796875;197216.09375;233681.859375;16384.2;200802.015625;176393.65625;168763.640625;181467.75
P40260;61477.046875;45634.3828125;75956.734375;54202.11;47487.171875;48559.81640625;36537.58203125;52941.41796875
P40302;889851.4375;677786.3125;701106.5625;25604.02;672353.125;914927.5625;809054.3125;734468.25
P40303;829160.0625;728437.3125;827678.6875;28439.1;597400.6875;931306.0625;798439.125;787988.8125
P40308;84872.5390625;70918.7734375;104862.5703125;73612.57;112087.6953125;93545.96875;76812.0859375;89683.6484375
P40309;0;7494.17578125;31743.09765625;97110.97;21171.25;5025.10009765625;3384.88037109375;378628.3125
P40312;323553.5;182680.53125;181489.34375;13296.88;151401.59375;328597.375;321603.875;124421.328125
P40317;67621.0859375;57597.71875;74035.9609375;101082.15;77505.2890625;58208.75390625;56152.02734375;62606.1015625
P40318;232565.203125;213320.0625;253871.296875;151454.93;232777.78125;235939.015625;236232.859375;243259.625
P40319;342470.9375;612585.25;486110;39465.34;428716.03125;332466.09375;227727.765625;675439.375
P40325;41843.91015625;63151.359375;47531.859375;22435.09;51389.87109375;46793.51171875;47960.3515625;56113.03515625
P40327;906731.5625;871559.4375;838154.4375;48828.2;919604.6875;872523.4375;1020197.3125;859460.75
P40328;42782.78125;38633.203125;37217;85300.15;40779.09375;43306.75;45829.59765625;39309.08203125
P40335;65888.2421875;38999.39453125;57755.80078125;42546.97;50748.44140625;71433.7578125;60045.83203125;65658.0546875
P40339;224299.421875;183758.046875;174088.53125;36149.01;201595.96875;198300.84375;209974.515625;204790.5625
P40340;126120.15625;126396.6015625;125677.5546875;157406.96;133347.96875;128719.2890625;121752.9765625;120510.0390625
P40341;147963.28125;124978.484375;119542.2734375;93276.3;147244.03125;140249.671875;145843.8125;124510.6484375
P40343;65383.328125;81910.1328125;70274.7734375;70973.52;66188.609375;69573.421875;67634.3515625;55735.22265625
P40344;101257.109375;70263.640625;101137.84375;35887.11;63441.8046875;76467.4765625;113487.6171875;85555.1640625
P40345;34011.03125;50293.703125;43314.55078125;75393.12;41863.671875;41988.203125;37690.78125;46014.0703125
P40347;187507.53125;198940.28125;155197.125;18675.19;172105.890625;236265.359375;223654.203125;186195.71875
P40348;173798.8125;220256.90625;198883.515625;39741.53;196049.28125;174006.453125;191483.96875;199122.5
P40350;44734.01171875;50772.69140625;63129.74609375;38346.82;49037.54296875;57350.265625;33621.7421875;46258.81640625
P40352;87350.3359375;118125.84375;41607.390625;124527.67;47765.62890625;50388.44921875;32207.298828125;52145.6171875
P40353;4512.66552734375;19775.623046875;14675.81640625;61035.99;7380.4326171875;3930.38159179688;6751.52880859375;11392.1796875
P40354;92496.453125;70398.5859375;116489.5078125;51896.95;103637.0390625;117524.4765625;96933.59375;100954.9140625
P40356;124860.875;85053.5390625;82000.0234375;43079.21;77994.6171875;133760.96875;99505.875;65146.40625
P40357;68780.3671875;80777.609375;86932.5;73623.75;95920.3984375;75290.703125;63968.05078125;78133.875
P40358;46741.5078125;21187.646484375;37442.11328125;75143.9;20326.685546875;46755.984375;46549.0625;31970.056640625
P40360;23512.984375;49635.17578125;110544.953125;65610.15;19682.90234375;39472.921875;13419.1337890625;10020.65234375
P40361;35074.609375;103472.7265625;22340.6875;104263.9;40022.96875;26074.208984375;32084.05078125;80862.5859375
P40362;60017.265625;110001.6796875;76984.8046875;66423.52;70960.359375;38668.65625;63368.48828125;82204.1953125
P40363;393823.625;278811.75;364709.1875;33934.21;365183.4375;428117.65625;442836.9375;415952.96875
P40364;223174.703125;179468.625;228060.34375;28470;239919.921875;232532.359375;238841.5;181059.921875
P40366;58575.6640625;59460.36328125;49707.03125;18792.6;72919.0625;56734.5546875;76316.8671875;43188.78125
P40367;2891228.25;2031532.125;2734974;94851.1;3362858.25;2359924.75;2612836.25;2900082.75
P40368;130082.8515625;106225.453125;112264.3984375;82085.39;103156.9609375;134569.625;113186.125;127198.6796875
P40395;21818.1171875;449539.15625;407281.625;121649.59;347234.84375;22938.080078125;17669.755859375;379649.28125
P40413;578494.125;648830.125;569859.375;61914.12;520626.53125;558523.6875;561557.375;559559.4375
P40414;675459.625;698014;558987.25;19092.86;888285.5625;720475;729992.125;626512.6875
P40416;69830.3984375;44508.9765625;43046.1875;77522.25;47157.0546875;71127.8203125;59989.24609375;53884.953125
P40422;579231.8125;973381.9375;921564.375;7715.93;779078.8125;663780.0625;667364.8125;755800.25
P40433;41119.3203125;55002.4921875;54968.94140625;93417.06;69212.7265625;55120.22265625;47806.12109375;60834.19140625
P40449;23707.05859375;21093.5546875;18553.3125;27111.94;16790.29296875;6351.21875;17208.861328125;19004.484375
P40452;31170.9765625;60253.875;40112.734375;22044.43;82275.21875;23408.6640625;25050.37109375;58627.08984375
P40453;13713.345703125;13245.236328125;18988.3984375;123133.76;12363.2978515625;13872.125;11934.814453125;13200.376953125
P40454;64112.6796875;19066.666015625;15999.34765625;45082.3;64.4650421142578;31662.99609375;16233.1396484375;26744.26953125
P40456;22889.19921875;44346.30859375;18104.453125;128734.61;28601.966796875;42319.82421875;35613.6171875;53683.0859375
P40457;124680.8515625;144067.96875;132886.640625;195141.47;122434.859375;122522.1640625;122383.8125;115894.4453125
P40459;390930.96875;199924.5;206783.359375;35032.23;164457.0625;414297.65625;332137.6875;257133.71875
P40460;4519.4931640625;3682.36010742188;5882.3701171875;80487.35;90.5919952392578;2294.42407226562;13748.603515625;2092.20483398438
P40462;753228.6875;467375.96875;436181.90625;107723.13;463540.0625;705339.125;634476.125;466564.90625
P40463;58836.3828125;109426.4375;94061.0078125;47961;99715.4375;63143.984375;81299.84375;76003.875
P40466;102420.4140625;167209.203125;132783.46875;53490.02;105534.359375;88334.09375;91600.796875;111260.375
P40467;33914.55859375;77714.9765625;64050.09765625;108781.15;59202.3203125;39205.82421875;43227.03125;72820.9140625
P40468;45944.765625;46924.88671875;43683.73828125;269857.88;41590.87109375;39619.44140625;35669.31640625;45829.29296875
P40469;112862.9609375;31839.6171875;30846.51953125;117882.68;31758.66015625;117020.4375;74795.859375;44055.09765625
P40470;29984.9140625;29836.4921875;27653.33984375;23845.13;22783.146484375;25009.166015625;24301.861328125;32858.87890625
P40471;479946.53125;484075.5625;466886.375;32813.94;545905.5625;507876.40625;431892.46875;598257.4375
P40472;205978.765625;236719.203125;214133.078125;48189.95;219904.8125;185363.25;184167.125;177898.640625
P40474;43106.3203125;56038.94140625;59281.734375;59618.02;58597.5859375;52335.19921875;35212.99609375;62034.2109375
P40477;472298;459996.875;399082.6875;158907.86;425202.875;424223.15625;487137.15625;421398.5
P40479;9078.4658203125;16571.7734375;23877.208984375;23885.5;11971.21484375;12694.169921875;7497.13916015625;21455.603515625
P40480;54138.04296875;47970.74609375;45166.890625;123556.37;35509.73046875;32505.51171875;25188.7890625;56380.8515625
P40481;37475.20703125;27869.140625;27496.55859375;42514.84;26488.025390625;29697.6953125;22333.669921875;32235.015625
P40482;921757.1875;658529.4375;672870.5625;103635.57;561868;993615.875;666458.0625;811492.625
P40483;196305.40625;167453.09375;151108.84375;77414.27;148593.640625;241260.9375;230647.78125;173969.65625
P40484;81390.515625;32895.6328125;63429.7734375;35882.39;97260.0625;85826.3125;139509.546875;89072.1953125
P40485;106165.046875;101078.8203125;131012.03125;77995.19;117949.015625;118086.3203125;105822.3671875;139786.90625
P40486;134595.8125;6827.63427734375;45211.06640625;59150.79;25324.64453125;35733.171875;47526.03125;42774.33203125
P40487;59267.82421875;22235.814453125;18564.5234375;48310.8;19369.9140625;66963.9296875;46199.52734375;22755.76953125
P40491;86592.2734375;92545.671875;82765.75;18364.01;117516.5859375;84025.5234375;100320.828125;96443.75
P40492;16171.5087890625;7449.1767578125;16731.37890625;59894.29;9672.9931640625;7631.646484375;13615.2373046875;20655.35546875
P40493;25063.306640625;29412.8046875;21160.43359375;39401.63;16534.599609375;31939.203125;22930.0234375;22298.248046875
P40494;53310.359375;91210.890625;63223.68359375;91032.06;44007.703125;60115.546875;51555.8984375;60235.4453125
P40495;1877151.875;1491575.75;1516587;40068.94;1399050.25;1856065.5;1683670.125;1586618.5
P40496;48010.22265625;49436.234375;32678.083984375;30513.38;43598.65234375;37090.46875;38402.9765625;43746.98828125
P40498;136899.703125;103049.1953125;86910.1484375;83991.28;78153.546875;170340.421875;124927.0390625;117060.6484375
P40499;18133.759765625;8692.9794921875;3943.36401367188;56332.89;5604.39306640625;18307.984375;12932.1923828125;10183.810546875
P40501;61499.12109375;24673.3828125;33118.484375;53736.74;31061.40234375;24230.0390625;27583.3046875;28151.431640625
P40502;5838.7890625;4246.91015625;0;16923.61;11478.2109375;4199.8330078125;1998.13671875;9318.23828125
P40505;58585.9453125;97249.6953125;78984.25;37625.27;102810.28125;60278.359375;51831.7734375;87983.71875
P40506;201806.453125;207281.90625;193754.671875;41866.94;133804.375;227561.1875;168216.125;214196.125
P40507;19383.91015625;13307.2255859375;1746.13146972656;41630.93;2710.46655273438;19127.990234375;6810.20849609375;61003.25
P40509;356511.59375;137864.578125;131018.84375;33828.97;117219.5390625;412944.15625;302331.8125;125984.8828125
P40510;460095.78125;501047.5625;470277.375;51188.26;477669.84375;465846.3125;470215.71875;482050.09375
P40513;626821.6875;305986.03125;308362.90625;30132.41;491525.28125;720531.375;610094.9375;289909.25
P40515;128457.6328125;75881.0546875;82465.953125;17733.43;111764.359375;171671.921875;170719.390625;91767.65625
P40516;126619.796875;38587.609375;26614.69921875;28689.61;45501.3125;131779.21875;92124.3125;63924.484375
P40517;154119.6875;140253.53125;116193.140625;36054.19;136447.859375;155851.546875;174453.65625;106387.59375
P40518;726231.375;690021.75;822396.9375;17134.42;835034.375;830294.8125;853539.125;606063.8125
P40522;37606.9609375;43436.765625;38269;71420.75;34752.109375;35476.30078125;19017.658203125;32094.05859375
P40523;14343.244140625;17465.140625;15190.7998046875;70733.45;23509.865234375;19078.359375;11038.4443359375;11048.7041015625
P40527;109669.7734375;65574.203125;84168.671875;130217.98;83681.984375;114932.421875;97694.1484375;87078.8359375
P40528;60034.77734375;74262.734375;62970.796875;104217.5;62707.59765625;61914.30078125;73787.7265625;53990.34765625
P40529;160767.46875;137305.5;113594.421875;32638.44;115413.3203125;163501.03125;154736.90625;142692.53125
P40531;3366297.75;4151372;4265207.5;36670.12;4268400;3614992.75;3658890.25;3767414.25
P40533;296959.5625;295229.71875;284373.125;54927.62;215958.90625;266744.34375;257029.96875;265368.46875
P40535;153935.015625;199726.578125;229471.3125;65264.25;213046.921875;131656.625;180506.921875;199636.21875
P40540;129349.1015625;65815.0390625;65646.03125;15907.44;63499.34375;118639.1484375;86460.6875;75409.1171875
P40541;66836.828125;30598.9921875;20561.490234375;133008.89;35734.94921875;68065.7890625;45716.9921875;41585.359375
P40545;134043.921875;59002.7265625;60400.2265625;29556.63;80724.9375;180256.46875;137161.03125;67793.3828125
P40547;5302.92041015625;3532.38842773438;194.461975097656;105491.44;2899.78930664062;3803.24145507812;2862.27880859375;4142.154296875
P40548;487591.5;418133.75;360562.4375;18306.26;441665.9375;475298.0625;478826.75;328118.8125
P40549;22412.724609375;12636.0673828125;14201.1259765625;72409.91;14626.958984375;17236.021484375;17226.451171875;14848.30859375
P40553;422657.71875;392391.59375;392284.625;24119.64;371641.8125;385872.875;376160.96875;408125.40625
P40554;362932.875;236042.484375;200160.171875;11028.46;192477.921875;382701.6875;406216.84375;136341.859375
P40555;47228.8828125;20319.33984375;38627.890625;24846.42;30436.880859375;59762.8984375;45519.171875;43061.890625
P40557;111726.2734375;121933.8984375;108581.7421875;81218.77;117889.1796875;123371.1875;126940.7734375;111908.7578125
P40558;32116.923828125;33572.9453125;26429.005859375;31921.78;21652.65234375;25569.5390625;20239.837890625;49076.5703125
P40561;154912.84375;154452.171875;158021.125;28954.2;167153.828125;152208.4375;151988.1875;185132.796875
P40563;256360.640625;276806.53125;269404.90625;74762.93;318892.21875;282683.5;298997.59375;263345.53125
P40564;95551.375;98052.640625;104123.3046875;48574.57;106039.59375;97599.078125;109325.78125;93631.0859375
P40566;16504.8671875;10222.2568359375;13753.3388671875;86978.71;7777.85302734375;18210.625;14272.6494140625;13635.46484375
P40576;37931.12109375;17738.27734375;15756.4345703125;24596.8;25901.5078125;42587.93359375;95409.484375;21859.736328125
P40578;54594.2890625;47367.96875;86756.9296875;127054.52;16524.12109375;27029.99609375;15576.287109375;46834.2109375
P40579;176610.46875;197206.59375;186631.171875;27480.55;176104.328125;153028.25;140620.8125;121951.4921875
P40580;531078.1875;524853.3125;547520.625;28804.15;505007.90625;555493.125;553661.1875;559753.0625
P40581;843664.5625;715121.375;622519.5;18641.49;788713.25;669659.1875;777829.3125;754564.5625
P40582;1922210;970688.9375;1428278.25;26794.79;1333913.75;1853408.125;1879503.75;1595129
P40693;440057.9375;509035.78125;387017.4375;36559.02;398125.21875;456520.25;405978.875;356190.125
P40825;1920396.125;2160511.5;1864342.5;110059.41;1939700.125;2096982.5;2063759;1880754.25
P40850;186922.4375;151829.28125;108349.984375;94494.51;94051.0546875;182933.53125;143467.328125;129267.6796875
P40856;49880.58984375;73397.546875;35068.55859375;121402.58;52235.83984375;34760.7734375;58522.62109375;53317.46875
P40857;137923.328125;46259.89453125;28795.943359375;24510.66;39984.01171875;253528.921875;180274.171875;59249.5078125
P40858;60623.9765625;51445.26953125;59940.40625;18387.49;55570.38671875;62022.5859375;67898.25;40739.99609375
P40893;116886.421875;96667.359375;88238.453125;21966.74;96636.40625;134279.046875;103441.1875;119993.9609375
P40917;25435.10546875;31504.396484375;35601.43359375;32975.27;25470.958984375;30760.291015625;27056.80859375;20995.22265625
P40956;102074.3671875;130958.8046875;116071.84375;44406.75;123907.765625;112449.15625;124039;112037.890625
P40957;48967.0078125;52040.640625;59115.95703125;87651.31;44011.26953125;40501.4609375;67894.84375;47831.69140625
P40958;42576.25;37595.6015625;43563.28125;22284.08;34691.5625;42616.80859375;32711.12890625;46482.51171875
P40959;75657.40625;64699.57421875;67992.1953125;59656.64;55887.16796875;83599.5390625;55101.875;79188.2890625
P40960;14387.5166015625;26714.30078125;50393.90234375;60074.05;16950.154296875;12353.4921875;14603.8251953125;22742.83984375
P40961;664957.8125;729674.9375;827007.25;31427.01;820585.875;679339.1875;744333.375;748978.1875
P40962;24013.04296875;71767.1796875;75773.9140625;27053.64;11697.0419921875;12212.9326171875;10096.1376953125;18206.025390625
P40968;209842;17388.767578125;42446.11328125;52047.81;36955.8125;273617.125;207105.78125;63225.875
P40970;220714.015625;107178.9296875;122055.7109375;63110.82;98351.7890625;260574.46875;164054.21875;119756.234375
P40986;82686.296875;139847.421875;113385.921875;57147.32;151667.078125;88493.828125;101756.71875;141369.078125
P40988;51197.10546875;93357.09375;74184;62791.99;78766.6640625;44177.44140625;38208.40625;86927.140625
P40989;254631.640625;45796.9765625;130886.328125;216989.81;107868.8828125;258392.875;190070.578125;113164.0546875
P40990;2389123.75;1805473.5;1853140.625;41476.19;1183302.25;2299396.25;1491895.375;1738990.5
P40991;629419.375;694066.0625;637184.9375;69812.23;620279.25;548294.9375;583794.375;625135.6875
P40994;65962.578125;22915.265625;51336.953125;20696.12;26146.748046875;47562.40234375;40520.91796875;31780.123046875
P41056;466369.96875;440751.03125;418415.40625;12168.12;337355.15625;386533.125;320984.1875;563009.125
P41057;9099250;14856480;11583636;6660.66;12550257;8436000;9372304;12476318
P41058;5520870;8112119.5;6913232.5;6727.71;7149735;5722538.5;6045650.5;7313094.5
P41277;11368496;7460713.5;6377612;27946.91;6776754;11826602;12349799;7405453.5
P41318;62027.94140625;39174.7578125;67429.40625;34033.88;64210.72265625;57059.65625;60046.7578125;61226.8828125
P41338;2547297.25;2495866.5;2702279;41728.69;2714187.5;2477214.25;2625896;2660420.75
P41543;60916.15625;30551.958984375;37154.375;54071.92;43765.23828125;78496.4609375;50852.12890625;37148.21875
P41695;2068629.125;2357716.75;2390789.5;117868.2;1769695.5;1940864.75;1873926.5;2046310.125
P41696;4211.23193359375;5941.5634765625;8997.6337890625;101169.84;5776.32568359375;4919.62890625;2645.94848632812;6098.466796875
P41697;93874.4296875;111620.3984375;91095.7578125;88816.6;84387.7109375;81286.8984375;79164.3515625;84645.3828125
P41733;49330.73046875;36353.2578125;18217.994140625;44741.29;7668.119140625;43220.3671875;27024.837890625;54967.6796875
P41734;230703.53125;66042.5078125;97728.703125;27346.25;68077.5859375;241143.0625;259208.421875;90763.125
P41735;18936.552734375;20940.21484375;23693.7265625;26059.68;24346.931640625;22257.845703125;11222.87890625;27966.83203125
P41800;32590.86328125;10464.9765625;33207.3515625;48660.07;49612.46484375;58061.8515625;56832.98828125;126157.59375
P41805;13230138;18335162;16502151;25361.34;17822974;11929935;14603840;17199278
P41807;1877638.875;842804.375;931120.9375;54415.82;819211.625;1935560.75;1653034.125;1116710.875
P41810;1503756.125;1112935.25;1117131.625;109019.49;846303.3125;1609501;1253269.875;1148745.125
P41811;1008883.9375;604057.375;571029.8125;99444.78;419005.03125;1117901.5;841694.6875;631420.75
P41812;49377.16015625;27554.556640625;31394.337890625;100395.4;37386.58203125;50393.37109375;31805.244140625;39466.55078125
P41813;52289.58984375;103511.0390625;93231.296875;94374.46;77389.5546875;38324.48828125;32044.302734375;76734.6640625
P41814;140468.546875;209896.96875;179593.9375;54389.35;169177.203125;140384.71875;149163.484375;171531.734375
P41815;26327.97265625;14285.5673828125;354526.15625;67365.01;38281.20703125;31518.755859375;36559.0390625;79872.7890625
P41818;484403.4375;540763.3125;455920.375;26648.98;578612.6875;511235.4375;452947.40625;439164.65625
P41819;267576.5;166427.4375;145282.859375;35950.82;134626.421875;227979.53125;197077.9375;190588.625
P41821;32384.33984375;0;43595.46875;61574.67;2263.21215820312;33451.3046875;24361.87109375;9340.802734375
P41832;89653.234375;101006.375;107886.265625;219672.63;98246.375;107636.0546875;110158.3515625;101583.4921875
P41835;30240.673828125;19072.09765625;20981.4375;58058.7;16882.31640625;35602.125;36013.12109375;25020.591796875
P41895;146057.59375;143745.8125;112998.421875;82194.43;142677.5625;148307.859375;169633.40625;127678.90625
P41896;70478.46875;66694.1875;66541.4765625;46605.45;74934.671875;74316.9375;85013.2578125;60523.7578125
P41903;137103.3125;113569.1328125;124271.8046875;40259.67;124868.8671875;137608.296875;128007.28125;147419.8125
P41910;67491.9453125;85552.9296875;94201.1640625;44732.88;75094.5546875;69433.9296875;96849.7734375;68782.21875
P41911;1487324;1009432.25;1027222.9375;49421.68;925756.5625;1388017.125;1384070;1024452.5
P41920;1829353.75;1507814.625;1193170.375;22952.98;1626430;1802092.75;2095203.5;1172605.875
P41921;1360919;971792.6875;962035.5;53440.91;1074224.875;1465380.25;1375606.5;1143415.625
P41930;22537.263671875;11401.2841796875;11072.830078125;52545.21;8587.333984375;26060.765625;35241.05859375;12573.2744140625
P41940;7177413;6695560;7348164.5;39565.91;5888615;7859674;7217878;7433941
P42073;33125.45703125;26348.34375;28409.728515625;59818.67;24839.22265625;32001.025390625;34757.51953125;25356.044921875
P42826;360269.15625;266426.21875;352558.09375;68320.92;290711.71875;387461.21875;369090.1875;360364.21875
P42838;297534;515603.6875;472196.71875;47437.58;393770.625;275279.46875;306540.625;375528.1875
P42839;79643.0625;102390.3828125;89652.5390625;102498.66;103814.828125;71401.7734375;82995.0546875;92550.0234375
P42840;27904.23828125;28293.720703125;29779.587890625;32308.34;27207.7421875;25460.4765625;22663.09765625;24582.212890625
P42842;219536.21875;154599.5625;153524.421875;102336.49;119752.1640625;218258.078125;169437.734375;160494.96875
P42844;133441.9375;168090.203125;166250.28125;19855.02;169617.515625;159165.03125;156194.484375;143576.71875
P42845;32724.185546875;57117.76171875;45473.109375;45683.65;46154.390625;45060.98046875;58115.42578125;34551.6328125
P42846;417937.28125;400616.25;322475.5;68653.8;309555.03125;347785.625;373996.9375;263458.875
P42847;16869.34375;48479.07421875;42510.5;24563.35;45971.12109375;18572.119140625;30937.578125;38849.8125
P42934;176743.640625;214253.640625;236585.765625;88026.13;211898.859375;167914.921875;172428.21875;214770.109375
P42935;304471.28125;222826.078125;191296.078125;89410.55;200161.234375;307591.09375;238962.609375;248626.578125
P42936;49244.1875;18506.330078125;41271.5625;26297.04;21134.28125;40775.40625;41782.9765625;39335.98046875
P42937;81239.609375;92671.2890625;99414.359375;17248.54;56653.78515625;63856.85546875;70300.21875;82049.4140625
P42938;208613.84375;145174.4375;199506.859375;33336.83;184373.53125;212355.921875;214287.28125;203794.0625
P42940;326899.21875;461925.84375;424219.90625;28758.64;467532.1875;286460.4375;331297.1875;363192.9375
P42941;275426.84375;202581.953125;176643.34375;34207.28;160418.21875;278328.125;290317.71875;178474.453125
P42942;273321.40625;282565.625;247880.109375;45214;246497.1875;266117.71875;311809.4375;282175.96875
P42943;792968;814155.125;770458.1875;59735.6;769034.3125;771756.125;730667.5625;868269.25
P42944;10559.66015625;14390.1845703125;9549.052734375;60519.69;10524.2001953125;11375.294921875;11203.263671875;0
P42945;318046.59375;161906.84375;154795.21875;200081.57;197488.515625;410499.90625;257724.890625;194945.046875
P42949;178972.234375;220238.625;202595.671875;16215.99;142451.375;198234.453125;218783.921875;146831.578125
P43123;431035.8125;427211.625;449993.4375;53476.02;398947.875;484069.625;475465.65625;410255.09375
P43132;1785.18811035156;0;0.365939199924469;58347.45;0;4327.048828125;4402.74365234375;527.487426757812
P43321;67236.4296875;132914.75;112133.2578125;11224.13;80644.3828125;54554.84765625;50587.00390625;89260.9375
P43535;816555.125;768639.75;737033.125;85027.46;733616.875;725179.5;855529.75;750539.3125
P43550;20828.119140625;10709.76953125;6440.86767578125;62134.6;2322.83251953125;24412.806640625;36254.13671875;9767.970703125
P43554;1160.81018066406;9330.57421875;5101.21533203125;70275.79;0;0;0;0
P43555;491227.75;517192.5;468817.46875;50330.44;499623.9375;447498.25;515634.53125;462687.84375
P43556;54594.32421875;57254.5625;47042.09765625;82208.51;41865.56640625;43951.01171875;40572.71875;46158.83203125
P43557;2039.25610351562;5056.9384765625;0;24018.52;0;0;0;0
P43558;278423.90625;181296.78125;197292.890625;33509.91;160582.0625;291007.625;255001.875;180126.46875
P43560;48451.91015625;46548.07421875;57101.08984375;76347.23;46784.390625;52261.19140625;33847.6484375;52995.63671875
P43561;237093.46875;201968.890625;251047.953125;70880.17;229601.1875;226336.71875;275076.125;277983.125
P43563;48127.08984375;43992.1171875;31421.751953125;33275.83;36906.75390625;26658.994140625;35359.8046875;30132.505859375
P43564;39255.3046875;37565.51171875;30640.021484375;119510.43;30240.55859375;25061.529296875;36447.21484375;27318.453125
P43565;40294.33984375;39380.7421875;53373.75390625;196531.08;42476.57421875;50238.88671875;47657.5546875;45376.25390625
P43567;110812.4296875;60177.5625;85139.0078125;41907.17;52585.24609375;143296.28125;101155.640625;81401.609375
P43568;35064.328125;33541.609375;25926.404296875;42186.42;15753.228515625;29159.19921875;52080.69921875;28036.287109375
P43569;185927.671875;122336.640625;129665.3671875;33089.98;116646.0859375;178935.375;144423.4375;122751.3203125
P43570;12557.828125;8600.478515625;2462.52807617188;57618.75;12721.43359375;13494.9091796875;11300.26953125;13568.1640625
P43572;129748.8515625;130343.2734375;149064.84375;96737.87;118428.5234375;159655.8125;177500.875;100668.4609375
P43573;144066.15625;112798.09375;110695.828125;91421.87;137965.953125;132256.515625;144201.125;94326.1484375
P43574;35822.53515625;57629.921875;54765.8515625;56327.61;58568.40234375;35563.78125;33232.12109375;50916.0234375
P43577;226906.453125;87093.3984375;109792.359375;18134.89;93600.734375;294001.875;238330.21875;91145.90625
P43579;87165.4453125;94636.7578125;103862.3359375;78752.78;81555.234375;88444.4375;121524.5;80735.9140625
P43582;1807569;1141886.375;2052353.625;22655.26;2223468;2160611;2132881.75;1584691.75
P43583;150182.484375;66897.171875;48068.23828125;245995.54;77627.078125;164979.6875;125289.1953125;84222.2734375
P43585;529856.3125;719884.9375;456050.46875;95440.8;587816;561891.125;565431.8125;569274.5
P43586;302109.3125;450009.8125;307776.8125;23590.43;354379.5625;261960.6875;250076.796875;288300.59375
P43587;142477.328125;183555.203125;134878.109375;18186.77;280350;196345.578125;215387.421875;172471.109375
P43588;753201.6875;768261.375;737343.875;34398.28;634183.1875;772783.75;761019.3125;629808.25
P43589;18317.1953125;24692.595703125;40785.82421875;52166.67;10510.787109375;15707.7607421875;18537.578125;25805.5234375
