PG.UniprotIds,221125_EC1_nvolkmar_EX140_1.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_2.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_3.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_4.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_5.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_6.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_7.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_8.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_9.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_10.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_11.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_12.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_13.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_14.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_15.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_16.raw.PG.Label-Free Quant
Q06815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,213483.5,NaN,NaN,358422.4,NaN,NaN,NaN,71769.92
P40091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,979832.8,828887.3,823402.8,503401.2,264844.3,271556.8,133959,1416028
Q02606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1680014,0,1669419,642186.9,0,237178.3,NaN,1421887
P25355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122593.8,541671.8,431201.3,627033.9,193739.8,542148.4,NaN,1600318
P32474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,531246.4,655202.8,125127.8,NaN,673836.5,2305507,555207.7,940426.1
Q06137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,978746.4,257217.9,616681.6,256077.2,NaN,NaN,155776.7,379078.3
P31382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1592754,2417836,521851.8,2780839,4260400,2435245,2761166,1564200
P43618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P07277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1365910,1354028,1411337,514039.4,750574.1,1726966,2224410,916721.6
Q12463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,188052.9,327258.6,272650.1,NaN,173888.8,452281,382439.9,273722.8
P23561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,243378.4,320131.4,1260893,NaN,1066553,199260,NaN,294241.5
P32487;P38971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,163952.1,NaN,NaN,209045.5,678835.5,NaN,NaN,NaN
P49334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1685730,2120805,2011255,1160695,1626914,2432420,2855918,2508115
P32432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,773762.5,4133789,3331699,1321925,1.05E+07,7167491,6524667,3155981
P47072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,275212.5,NaN,NaN,NaN,NaN,143656.5,NaN,311648.6
P46962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98483.84,170730.8,240037.9,NaN,261786.3,204920.8,NaN,NaN
P13434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,827768.4,411063.4,NaN,365504.8,155187.8,544770,NaN,726814.1
P25353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1753601,3553205,2184763,1465632,2485555,4322596,776123.9,2459987
P53898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1106973,1489504,NaN,231806.2,1777631,NaN,724678.4,108286.6
Q04746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P07253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,276121.3,NaN,996765.8,NaN,NaN,NaN,NaN,NaN
P50896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,552102.2,542650,294521.3,1116535,NaN,NaN,121730.2,406973.9
P38180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,206638.7,387881.9,185479.3,NaN,203646.7,578586.9,471299.9,254730.2
P38795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,199627.4,473976.1,700877.8,616376.8,1103713,820375.9,486403.9,724105.5
P33204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1843798,1010399,1662607,1182688,1725856,1276662,806321.5,971973.9
