PG.UniprotIds,221125_EC1_nvolkmar_EX140_1.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_2.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_3.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_4.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_5.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_6.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_7.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_8.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_9.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_10.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_11.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_12.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_13.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_14.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_15.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_16.raw.PG.Label-Free Quant
P24482,49497.65,NaN,NaN,114817.4,NaN,NaN,NaN,53857.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P07267,5543533,2201519,2150514,613844.4,4180587,1323718,1895486,3216572,4.39E+07,2.75E+07,4.90E+07,2.97E+07,4.84E+07,3.79E+07,3.87E+07,2.83E+07
P38131,182640.7,350964.3,NaN,467132.2,NaN,NaN,NaN,195575.6,725332.1,541434.3,3359767,422069.6,2197733,882936,1118177,585722.1
P40325,170808.9,NaN,245731.9,NaN,0,NaN,NaN,NaN,3422505,1887031,4392852,2765472,1701425,1344034,2172924,1431622
Q06211,1588936,1601465,1486860,1083565,1941397,670853.9,1132244,802230.9,2595944,1878777,2294973,2318263,1237090,2463139,986076,1981868
P32480,856647.9,440596.4,997202.3,141836.2,567318.7,NaN,345005.9,655545.6,482248.3,NaN,477139.3,NaN,NaN,NaN,336326.7,NaN
P53952,2519739,3768406,3765745,4171252,4575695,2935994,3009545,2564714,645015.1,255687.6,529073.3,NaN,843596.3,281188.3,98649.66,NaN
P36161,428654.9,146625.1,NaN,957172.9,NaN,312813,NaN,474322.6,2899638,4413347,5826734,2892398,2641141,623737.9,1959030,2635851
Q02821,727926.6,940978.4,712946.9,300245.4,586958.6,880761.7,597349.4,1636413,2295473,2379872,2233078,2320228,3478915,4320856,3651620,3094764
P40157,4368412,5306894,4122788,5528642,4693803,4017215,3401424,4598649,NaN,NaN,641470.6,982321.7,NaN,NaN,NaN,92017.53
P53313,4971940,6072247,3089157,5314165,3701159,1511174,3508077,3611167,563023.7,1139225,2366041,615115.2,1119276,712056.5,250897.8,573384.9
Q04491,1.27E+07,1.06E+07,9352762,6829557,8612394,6902706,6402159,1.13E+07,1.37E+07,1.43E+07,1.22E+07,1.26E+07,1.26E+07,9002620,9808161,1.21E+07
Q05636,1671846,3167887,2140170,4724304,0,1528443,594440.9,2327985,NaN,460133.7,107455.6,565040.5,NaN,NaN,286430.1,131337.2
O13585,1597613,739429.8,601436.6,1304083,NaN,279738.8,79573.58,138115.9,4341067,6954927,4304253,7013572,4161394,4159930,4856338,5026645
P33308,6041750,2972796,4560807,3069596,5159381,3369295,2595529,4855173,1313285,1410445,3083019,1084094,1072285,3577333,1877151,4303415
Q06337,2668506,1290052,1186472,2447033,2164997,1224233,681043.9,2780207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q12514,1368654,1520786,1213732,2310717,1568732,689591.7,983439.5,561925.3,9510161,1.12E+07,1.27E+07,1.19E+07,7851911,7984884,7892337,1.08E+07
P36000,1771801,714571.9,1115681,1000934,787665.3,0,1066996,1438551,817858.9,808842.9,670848.7,198340.7,451013,706986.6,488879.3,801620.8
P16387,4243824,2898232,2887451,4070919,5047979,3058575,2549950,4166033,4.44E+07,5.76E+07,4.60E+07,4.76E+07,5.46E+07,3.84E+07,5.30E+07,3.82E+07
Q03280,1803821,2247991,1256367,1977281,1245621,445550.6,885713.6,1056776,912713.6,1629879,862674.5,1013450,1196040,128017.6,201833.8,NaN
P37302,2453682,2144886,1810775,1766438,2501036,2609922,2872941,2739717,2.17E+07,2.11E+07,2.06E+07,2.10E+07,3.78E+07,2.53E+07,3.33E+07,2.36E+07
P28834,1872934,1699416,2382549,3566348,389568.7,1117867,1081796,2144031,7.96E+07,5.34E+07,6.81E+07,3.67E+07,4.91E+07,4.18E+07,4.57E+07,5.66E+07
P15790,1.11E+07,1.16E+07,1.12E+07,1.69E+07,8852084,1.05E+07,1.01E+07,1.20E+07,974794.6,NaN,628618.4,100951.1,325619.6,334998.2,456930.3,697468.2
Q12363,1694893,1592455,975592,2098622,773582.4,792965.6,572969.1,249305.3,1.97E+07,1.09E+07,1.51E+07,2.13E+07,2.46E+07,1.73E+07,1.11E+07,1.80E+07
P34760,5020016,6451140,5132967,3923806,1.46E+07,4112152,4753523,1.05E+07,9853176,1.41E+07,1.25E+07,6993876,2.16E+07,2.04E+07,2.04E+07,1.53E+07
P14540,2.25E+07,1.11E+07,1.19E+07,1.67E+07,3.55E+07,2.05E+07,2.62E+07,3.50E+07,8.26E+07,4.86E+07,5.49E+07,6.26E+07,7.87E+07,1.13E+08,7.50E+07,5.19E+07
Q12321,1508744,608911.7,1205648,1662252,1.10E+07,947723,1043415,1502607,1942594,1948963,1598628,2099333,2584855,1364262,2148382,2500960
P22276,2859548,3601434,2644187,3872827,2300616,2020809,1496754,4667711,1138494,1549197,1556688,3413615,625475,1189200,1406979,1752662
P32569,2229115,2113154,1027038,1480302,1586297,1319670,1495231,2208398,1481730,3962411,2496029,3097675,1161196,2301320,1149902,2612871
P38219,543035.1,2186696,2693633,3811943,1266850,2738615,842552.4,4373982,5041515,7244399,1.27E+07,6233712,8210942,6695441,7943067,5687585
P17076,2.19E+07,3.60E+07,2.04E+07,3.36E+07,1.13E+07,6398670,5935965,1.37E+07,1.28E+07,4365354,7019547,7287308,9226728,5263518,4681082,4260133
Q06103,1.64E+07,1.65E+07,2.12E+07,2.42E+07,2.06E+07,1.44E+07,1.57E+07,1.67E+07,1.12E+07,1.53E+07,1.96E+07,1.27E+07,9147382,1.50E+07,9417358,1.53E+07
P45818,4625361,5914416,7314610,8555615,6274942,4266718,3342661,1.58E+07,NaN,NaN,120300.6,878236.8,49643.14,NaN,153333.8,NaN
Q03940,9721282,1.01E+07,1.04E+07,1.29E+07,1.09E+07,7056884,8711446,1.47E+07,1.17E+08,1.49E+08,5.78E+07,1.10E+08,1.17E+08,1.01E+08,4.97E+07,8.99E+07
P09624,648234.3,457775.5,747186,478911.5,NaN,1113722,515143.9,1316451,1.55E+07,7904039,1.72E+07,1.13E+07,1.12E+07,1.08E+07,1.40E+07,1.37E+07
Q05040,701380,106824.5,97404.27,59611.88,NaN,NaN,NaN,226146.6,160769.2,173038.3,71466.19,270976.1,1193692,183470.6,586307.3,159335
P53905,1445656,1841861,1840399,1547829,1340860,1857021,1906545,4689946,396136.9,529154.3,NaN,433827.2,446997.5,126016.7,414306.2,NaN
P23254,1593864,2329004,2549080,3869637,678024,2647872,1765176,2662535,5689316,9306524,1.11E+07,9350420,6880043,9553792,6053790,1.20E+07
P33201,1.74E+07,2.25E+07,1.64E+07,1.86E+07,3.96E+07,1.91E+07,1.37E+07,2.74E+07,7126387,5483178,4077612,3345288,5055283,3529092,1382589,4134470
P21576,2186049,2405822,1385605,3133287,683254.2,1219111,820498.1,1892134,1.34E+07,1.50E+07,2.27E+07,1.26E+07,1.21E+07,1.19E+07,6040538,9915396
Q02326,1.74E+08,9.27E+07,8.85E+07,2.24E+08,9.39E+07,5.57E+07,4.15E+07,8.57E+07,4.34E+07,3.47E+07,4.46E+07,2.88E+07,3.81E+07,2.64E+07,1.94E+07,2.84E+07
P05739,7.90E+07,6.52E+07,6.79E+07,1.09E+08,8.78E+07,4.60E+07,4.24E+07,7.18E+07,3.09E+07,3.01E+07,2.41E+07,1.47E+07,1.38E+07,1.75E+07,1.19E+07,1.28E+07
P24783,5064505,9036486,4571765,8930549,3625244,3236363,1818109,8035667,3026827,2059436,2854050,3103452,1515151,2333896,2595040,2133700
P54784,2286064,2430897,1539718,3604979,1168641,1794818,1961827,2913215,NaN,NaN,NaN,122339.6,NaN,NaN,NaN,NaN
P31373,1814717,1831122,1653504,3021491,1171559,2244567,1828979,2882622,1.62E+07,1.97E+07,1.83E+07,1.55E+07,1.91E+07,1.97E+07,8294244,1.32E+07
Q08723,9446517,1.19E+07,1.15E+07,1.42E+07,1.37E+07,9089598,1.29E+07,2.38E+07,9444040,1.22E+07,1.40E+07,1.27E+07,1.05E+07,1.37E+07,9745523,9596374
P0CX41;P0CX42,5.65E+07,1.05E+08,2.18E+07,3.99E+07,7.23E+07,2.61E+07,6.33E+07,3.54E+07,3.94E+07,3.38E+07,3.58E+07,2.73E+07,2.37E+07,1.76E+07,1.91E+07,2.68E+07
P32802,2241338,379934,773477.2,1702179,1381390,245813,606303.3,NaN,5813397,7646940,1.56E+07,2822535,2986320,1552999,2247826,2993804
P25555,7343772,6963792,6268668,9222087,7703180,2938167,3836466,3890975,1063370,739693.5,1807377,1081416,378842.6,442163,719752.4,207627.4
P39954,6947750,9702168,6895672,1.12E+07,7809729,5813984,4668353,8171590,1.07E+07,2.27E+07,1.93E+07,1.44E+07,1.09E+07,1.48E+07,1.23E+07,1.22E+07
Q06436,292090,214093,823114.8,691326.5,183968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P80428,1760557,1865256,2221866,2561667,1283793,378257.1,103377.3,4673150,2081225,2273165,2758802,3270719,1872738,722473.5,1140443,587061.9
P0CX37;P0CX38,2.38E+08,3.09E+08,8.91E+07,2.39E+08,1.55E+08,1.47E+08,1.14E+08,1.55E+08,1.08E+08,7.49E+07,7.81E+07,7.67E+07,5.71E+07,5.96E+07,6.04E+07,6.55E+07
P09734,2836896,1664973,586486.5,2139205,623495,1006694,717003,1244331,1.47E+08,8.19E+07,1.38E+08,1.22E+08,6.29E+07,6.17E+07,8.04E+07,5.35E+07
Q04377,7626002,8270621,1.05E+07,1.10E+07,7081300,6093701,9286962,1.56E+07,394901.3,NaN,NaN,203347.1,859155.6,NaN,NaN,NaN
P33399,5710841,7361089,5143637,6891580,4320326,2596491,4254135,4284342,467978.8,637002.3,390972.9,922668.1,NaN,NaN,215636.5,NaN
Q99207,1.20E+07,2.27E+07,1.39E+07,2.52E+07,2.10E+07,1.09E+07,8397618,1.12E+07,1615204,1629057,987548.1,654279.7,1268751,1400706,1103561,NaN
P53863,0,1083099,814097.6,1497043,899764.4,1045182,302287.8,1876994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P09938,2974335,2640099,953754.2,2929618,6015169,6738878,5646417,6183923,1.04E+07,9578830,1.01E+07,1.07E+07,5.65E+07,3.77E+07,3.33E+07,3.22E+07
P33332,177717,NaN,483017.1,194746.8,NaN,NaN,NaN,NaN,NaN,NaN,1295432,652100.1,0,213827.3,192742.8,812115
P01123,3071191,2062610,1689993,3661443,2388862,1302504,1611315,1903722,1.71E+07,1.05E+07,1.66E+07,9727437,1.78E+07,1.44E+07,7141756,7440942
P39968,57275.48,114785.9,0,205853.4,NaN,108798.8,714527.6,245277.4,682688.5,NaN,1259994,931358.6,982189.3,513975.3,383508.6,859687.2
Q02206,953882.9,4485778,2171537,2684143,1120115,192259.7,1107061,3331737,102275.8,391735.8,572620.5,267272.6,NaN,NaN,99160.57,315878.4
P36036,3437506,4002049,5621266,4439939,3878429,4824103,3426130,7724526,NaN,NaN,548691.7,326175.4,NaN,82559.97,NaN,219731.8
P43639,8675315,1.15E+07,9531655,1.37E+07,1.81E+07,1.28E+07,1.39E+07,1.28E+07,3328242,3682080,1901396,1635178,1574732,383459.6,2435855,2104031
P38165,1128261,836506.3,1709315,753988.6,338669.7,1746408,1822314,1152206,2737248,6074781,5100241,7370286,2757619,2940708,3621659,7838140
P22936,7752034,5543862,2565529,2890093,3018071,1888389,2092119,4626719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P25441,3304526,3477304,3612500,3058679,1187489,1882080,2023585,1830757,NaN,NaN,NaN,NaN,NaN,NaN,135699.6,NaN
P29496,109201.3,480093.8,351964.7,444557,NaN,121594.4,120189.9,72086.61,2534469,2239953,1760432,2083997,1841580,3427359,2796272,2955790
Q06213,3230934,1847478,2630972,2129824,3486476,844382,2587063,1898989,5383335,6088970,6043426,7029263,3575309,5085034,3788532,4502836
P27810,516439.9,NaN,NaN,554365.1,792163.9,NaN,657558.7,623355.3,4848348,6419025,5215218,4599087,8786143,6953959,5097927,6439635
P36525,429471.5,NaN,NaN,NaN,NaN,171404.5,NaN,379645.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P32501,2571842,1271584,2462454,4952385,2798339,1747936,1825701,2565112,8261604,6279237,3767246,6869034,7615106,5187559,2959466,5212451
P33202,1000247,1910856,917770.6,1608061,789448.4,1562637,1167957,1599588,1.60E+07,2.46E+07,1.15E+07,1.44E+07,1.51E+07,1.70E+07,1.63E+07,1.69E+07
P19735,106003.7,NaN,126457.1,115520.5,NaN,140237.9,NaN,3214293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P00830,1530341,1943184,1220392,3412760,1286113,897989.3,1582483,1749937,4.00E+07,4.64E+07,2.88E+07,3.29E+07,4.32E+07,2.13E+07,2.73E+07,2.93E+07
P50094,922158.8,606017.5,NaN,639065.3,NaN,228444.7,NaN,462610,NaN,330673.7,166603.2,NaN,NaN,NaN,NaN,NaN
Q03780,876617.8,251731.5,NaN,161971.3,737032.4,NaN,NaN,191081.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q12338,1.04E+07,1.49E+07,9179651,1.81E+07,1.60E+07,5305121,1.38E+07,1.49E+07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P19414,1468754,1327176,976559.3,1829346,1376672,1955611,1088575,1339022,4.25E+07,2.66E+07,1.53E+07,1.86E+07,6.77E+07,2.93E+07,3.56E+07,3.67E+07
Q01939,2.81E+07,2.99E+07,2.56E+07,2.59E+07,2.12E+07,3.15E+07,2.18E+07,1.78E+07,5.11E+07,5.00E+07,5.39E+07,2.64E+07,2.84E+07,5.07E+07,3.20E+07,4.53E+07
Q05024,692867.3,246912.2,165534.5,279778.2,NaN,NaN,NaN,430499.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P16550,161564.8,122509,151743.5,510034.7,NaN,NaN,106033.2,NaN,1.94E+07,1.67E+07,1.53E+07,2.19E+07,2.09E+07,2.58E+07,2.36E+07,2.84E+07
P32861,1962243,2193574,1833569,1919546,3298327,2532108,2507613,3960432,1.04E+07,1.32E+07,1.19E+07,9682208,1.33E+07,1.65E+07,1.76E+07,1.21E+07
P10080,3040604,332689.4,332665.1,NaN,532103.3,775670.8,604401.4,520644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P49723,3184171,1021506,1059621,1560325,1334458,2152956,1744218,5753801,4338810,7562885,6467202,3322953,9739569,1.36E+07,1.23E+07,1.23E+07
P61830,1.01E+08,1.34E+08,1.42E+08,1.24E+08,1.03E+08,1.16E+08,8.94E+07,1.43E+08,2.37E+07,2.50E+07,3.35E+07,2.10E+07,1.05E+07,1.23E+07,1.41E+07,8908220
P22138,4782527,4567133,6647939,2943535,4527865,3266905,3645866,7408600,1.02E+07,1.35E+07,1.77E+07,1.16E+07,1.24E+07,1.07E+07,1.18E+07,9003312
P25558,857382.8,492205.4,326763.1,639745.1,667905.6,NaN,300234.5,336500.7,113181.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P25649,1.19E+07,1.62E+07,1.76E+07,1.17E+07,2.96E+07,2.05E+07,1.05E+07,1.59E+07,393499.5,862452.3,210240.7,312371.6,301119.4,143958.7,754891.1,365210.6
P31116,1156454,1539601,1388218,3475929,NaN,837421,435500.7,1972444,2.08E+07,2.06E+07,1.82E+07,1.45E+07,2.16E+07,2.46E+07,1.23E+07,2.35E+07
P43638,1331070,NaN,306220.8,NaN,0,NaN,NaN,NaN,118669.6,299901.8,503855.3,569767.5,1450325,1168054,652601.8,168201.9
Q12276,412617,455314.3,545922.3,464407.9,419034.8,147447,344197.3,220862,256875.9,NaN,NaN,NaN,195026.5,NaN,592188.2,NaN
P02294,1.29E+08,4.99E+07,8.44E+07,5.27E+07,6.94E+07,6.05E+07,5.21E+07,9.15E+07,6.06E+07,6.84E+07,8.26E+07,4.27E+07,2.65E+07,4.61E+07,2.05E+07,2.45E+07
P53886,264990.3,281741.6,128081.4,NaN,95462.87,379880.5,160600.5,344105.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q03919,610945.6,NaN,NaN,1654061,1414964,NaN,598742.3,1549380,NaN,NaN,582603.7,467305.8,NaN,NaN,313351.7,NaN
P32833,1529040,418878.9,500214.2,943851.4,718782.9,709853,207075.4,1017455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P38304,2035491,567126.2,479935.7,845738.1,1422166,340156.3,1137419,1331869,2940971,437014.3,1741513,256769.8,2589376,627802.5,754994.8,2863982
P25588,3212043,2263496,2689121,6328182,3874930,2040326,2307674,3465235,5491645,3163292,3125429,2189593,3627298,2569166,2259608,2849683
P12688,909664.6,2370181,440433.8,2425627,4441606,NaN,NaN,111991.9,8086084,1.21E+07,6961911,1.04E+07,5631955,6565192,4209821,4402522
P36123,298804.5,3044048,620509.9,2223183,3533665,2658066,2772022,2778150,2300424,2971353,967925.8,2239421,2727897,3488506,5150314,3872590
P32521,807215.3,1045553,152597.2,391752,1482524,1731807,1469291,1471342,2669476,982416.4,995366.7,194417.5,363876.6,1309355,987749.9,2243738
Q12510,4103432,3549799,3386169,3727800,4420151,2507091,3234322,2980258,NaN,NaN,414920.9,NaN,NaN,NaN,NaN,NaN
P38701,6.96E+07,1.14E+08,7.54E+07,8.53E+07,8.64E+07,5.33E+07,6.58E+07,8.52E+07,7.27E+07,6.12E+07,8.65E+07,6.30E+07,6.31E+07,7.68E+07,6.79E+07,6.52E+07
P41940,2747633,5892572,3590678,7797434,2868394,2982768,1401412,2725616,3.76E+07,6.13E+07,7.06E+07,4.80E+07,2.34E+07,4.11E+07,3.47E+07,3.42E+07
P17890,1414608,2535804,2681541,1055322,695462.1,759937.1,387228,567999,2740857,2498393,3190764,1999856,1745145,1442088,1220129,2953904
P46669,1227626,2248011,1256969,3984909,1360128,3352323,1708466,2716223,286143.3,1542232,NaN,NaN,NaN,185121.3,NaN,NaN
Q3E705,979391.3,1157541,883308.1,1714138,785674.4,918409.9,446240,888769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P32563,2720467,2489491,886934.9,2795323,1296312,2220596,459222.1,978056.1,6519485,5102849,5665085,6072952,3586169,2455157,1943334,2225185
P32473,832467.2,192042.1,99463.86,730847.4,398344.3,180439.6,133736.2,266524.8,1.27E+07,1.30E+07,1.37E+07,1.60E+07,2.88E+07,2.01E+07,2.61E+07,2.83E+07
P39729,1506737,2630943,3714875,7334428,1918196,1851245,2012458,6360928,2046800,5280334,4837708,3025312,3754481,3623330,2599403,2836694
P20433,1.21E+07,2.24E+07,1.63E+07,2.45E+07,3.49E+07,1.69E+07,1.02E+07,2.18E+07,2738983,3302000,4407755,3663164,3175059,2774857,2949622,3997592
P38853,69503.21,NaN,259259.6,417903.6,324608.3,NaN,92880.66,NaN,324141.2,1046253,2149390,565876.3,NaN,547480.8,457985.7,1233983
Q12340,313603.9,370822.2,173359.9,273641.7,NaN,217323.8,61341.71,447684.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q04673,237259.5,183770.8,81184.69,215059.2,NaN,158329.1,175942.3,259895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201168.2
P07560,377197.9,1127386,872072.3,1784957,1160080,1096992,803042.2,907230.5,3105876,8756478,7889377,5198722,4765417,3254220,2874863,2135290
P53114,2442029,2033028,1484314,2259773,2574183,1365335,1508838,2985010,2741912,2016685,2151955,1588340,1489869,1113216,664102.7,2064436
P19262,464782.7,706515.1,226043.5,1155559,NaN,246105.5,357615.1,353425.7,1.23E+07,9600338,8538585,1.05E+07,1.99E+07,8467266,6805132,7842828
Q06511,8815697,1.15E+07,6548350,9722034,1.41E+07,9768746,7893859,9646954,NaN,NaN,260200.7,306238.5,NaN,531359.4,649584.5,1085609
Q02457,187819.4,216345.2,336620.9,208717.1,NaN,NaN,275357.8,NaN,950204.3,NaN,958443.6,735675.5,254526.6,298516,122958,522434.3
Q08923,675726.4,498184.6,431224.2,933665.4,NaN,584975.2,986317.1,624092.8,1371088,843378.5,2685296,1582706,1215024,435653.8,1214502,939517.6
Q03654,418470.8,334427.7,109723.3,NaN,232906.5,NaN,156376.4,NaN,NaN,NaN,NaN,NaN,435600.9,NaN,NaN,150379.7
P53911,2060818,1874278,1112184,465160.5,1922061,1283152,1145807,835197.9,NaN,NaN,1395103,NaN,171839.4,NaN,NaN,82973.36
P23255,2074653,1145226,1875501,2315189,388021.7,2684463,2355544,1930507,1675751,1387710,1073516,202620.7,1216072,1385079,579102.6,275587.2
P10591,1.43E+07,2.75E+07,1.83E+07,1.97E+07,2.43E+07,1.28E+07,1.10E+07,1.23E+07,1.79E+08,1.37E+08,6.68E+07,1.03E+08,1.63E+08,1.24E+08,1.65E+08,1.28E+08
P38068,1048226,NaN,973412.9,913409.8,1260481,875316.3,911833.8,822328.8,1.19E+07,9107566,8920466,6913037,1.47E+07,1.07E+07,1.20E+07,8078254
P04051,2396750,3523095,1820341,4514499,1038747,1218799,567456.4,2657677,800530.6,151737.6,2660162,2367193,1138198,2280895,308798.9,180984.4
P47108,3407353,2668733,1967029,2860286,3225109,1559029,2022011,2643570,2568839,NaN,215929.2,1898782,1155330,NaN,NaN,NaN
P13185,0,NaN,NaN,920507.1,NaN,NaN,NaN,NaN,236524.8,215953,188410.7,NaN,822548.4,NaN,324376.6,350600.3
P40029,1702881,2641529,2400873,2730150,2433741,397104.1,705121.9,903746.5,NaN,172575.4,279284.8,190929.5,NaN,217313.7,NaN,NaN
P40348,2215323,1887260,1189851,4227621,3703901,2211800,392469.7,6037987,7909317,1.01E+07,1.07E+07,1.04E+07,5978760,6123015,4403100,5030846
P0C0X0;Q3E7X9,5.48E+07,4.84E+07,1.70E+07,1.12E+08,9.58E+07,7.10E+07,1.38E+07,2.21E+07,2.00E+07,2.47E+07,4.93E+07,3.82E+07,5.91E+07,4.54E+07,3.19E+07,3.98E+07
P53628,2741518,1881323,1236580,2460324,2038013,963032.3,1155474,1701016,3527041,2901129,4091899,2996974,3995304,2742946,3138563,2494316
P34909,2963490,1839253,2690452,2925676,1465675,1458314,1436321,981114.6,3898620,3086275,5279307,2862804,4367737,2111172,2246101,2699994
P38961,7202196,4163541,5620499,5277184,4960296,5228630,3755445,8049584,396657.9,NaN,NaN,NaN,447159.3,NaN,NaN,NaN
P38205,1672454,2866278,1584036,2911209,667039.9,1527590,2085902,2781938,901853.4,446811.3,619553.7,418312.6,496202.3,NaN,658911.2,818048.4
P35201,1747030,1854371,874912.8,955543.9,3548725,2203809,1483495,3638656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53292,1030668,310541.2,67610.05,538363.2,86700.02,335945.5,NaN,148769.4,596880.3,NaN,NaN,594052.6,NaN,NaN,491282.3,88116.6
P38712,3953943,3113487,3843647,3606047,3835223,2410513,1804805,4272184,2351039,700165.4,2378438,1634167,851409.9,549038.3,936043.9,1001323
P40513,8367605,7153169,7331628,1.03E+07,6913564,4895169,6124059,8229177,5798329,4359369,5648533,6770504,6351570,5978840,5682248,6134493
P38167,506718.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144948.4,NaN,86970.95,368589,224300.4,137903.5,NaN,NaN
Q00402,1184756,1503794,965954.4,741669,NaN,787212.8,550010.6,1030988,5760123,5255599,6810170,4978803,4496989,2871110,4852662,4020013
P40495,2139559,2899765,2615842,4382032,433537.8,2056898,1149565,2286784,5.75E+07,5.04E+07,5.09E+07,4.50E+07,3.33E+07,3.96E+07,4.02E+07,3.14E+07
Q03088,1109122,296133.4,277651.2,0,368694.8,337678.4,820698.1,538925.7,1992627,1874954,0,934385,724425.4,396871,413739.2,176058.9
P40161,1.01E+07,2978124,3585501,7002454,2371569,8446333,2404096,2278264,NaN,NaN,507992.1,NaN,NaN,NaN,NaN,NaN
Q08235,1.17E+07,1.12E+07,6501332,8106714,9437108,5268979,4610485,1.79E+07,2040057,NaN,0,NaN,NaN,NaN,289431.4,NaN
P38782,1288375,182892,525984.6,1364805,671183.1,272816.2,468933.7,839347.9,NaN,131358.2,NaN,76426.08,NaN,259792.6,49400.63,60988.13
P25623,1119890,2589655,1346366,3145023,1366933,2391161,1173888,2337617,1032876,357557.7,1102901,274641.9,1043354,720329.6,448539.8,389637.8
Q06709,1.45E+07,1.41E+07,1.35E+07,2.23E+07,2.51E+07,1.93E+07,2.02E+07,1.62E+07,471040.3,NaN,NaN,NaN,NaN,577463.7,694406.1,NaN
P53289,564492.9,NaN,NaN,NaN,NaN,136871.4,327863.5,540061.9,NaN,354445.8,NaN,NaN,NaN,NaN,NaN,253468.6
P13663,413361.1,840221.1,939945.4,1045031,NaN,641305.8,148657.5,1533704,1.71E+07,1.25E+07,1.45E+07,1.01E+07,1.76E+07,1.45E+07,9513475,1.22E+07
P47128,1012607,NaN,NaN,NaN,1658185,343573.4,1077117,144941.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P38789,6460379,7301313,4390066,6653762,6573858,3751067,3905731,6085644,NaN,NaN,NaN,NaN,NaN,373340.1,NaN,NaN
P35732,4697193,3876634,4306720,3712748,6691028,2782110,5049551,5626353,3.16E+07,1.78E+07,2.24E+07,2.98E+07,2.65E+07,1.23E+07,1.41E+07,3.57E+07
Q06512,5763888,8119970,5348325,6801566,6409855,3951794,2982162,5931490,NaN,143478.4,NaN,NaN,NaN,NaN,NaN,NaN
P0CX84;P0CX85,8.79E+07,1.12E+08,1.03E+08,1.06E+08,6.55E+07,7.52E+07,8.24E+07,8.77E+07,3.24E+07,1.44E+07,1.94E+07,3.18E+07,2.26E+07,1.15E+07,2.38E+07,1.98E+07
P40470,4686157,2129868,1404828,3940884,1578080,1686108,3226382,3175077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P38255,408873.8,694379.9,410263.8,1469862,355486.6,192294,66075.7,573049.3,3916923,6529163,4841800,4988078,5617987,5185070,5609489,4264436
P53261,3.00E+07,2.10E+07,2.96E+07,2.59E+07,2.85E+07,2.39E+07,1.43E+07,4.20E+07,2317689,1895235,2686313,1538709,354172.9,2979062,1913978,1597567
P39538,312834.1,130467.4,NaN,NaN,111477.4,431917.4,52487.75,829153.4,856252.6,345762.6,625573.7,504838.2,1049588,606754.1,1161415,1083179
P38625,547762.1,1921390,NaN,2531111,NaN,1951844,645594.1,2246665,9245041,8922386,1.75E+07,1.12E+07,7499620,8065747,8255410,6656380
P32610,1874419,3934027,2716656,3729284,994122.5,840999.6,1742027,1749241,3.48E+07,2.00E+07,2.89E+07,1.27E+07,1.39E+07,1.10E+07,1.08E+07,1.23E+07
P23250,2227764,623605.1,778656.1,2473095,NaN,NaN,154594,375800.8,2282452,1359944,1548312,1160476,387299.3,327013.3,NaN,NaN
P10127,626900.3,430820.1,NaN,NaN,6628159,2629007,5553995,3171778,3.39E+07,1.91E+07,1.96E+07,1.28E+07,2.56E+07,1.75E+07,1.19E+07,2.05E+07
