Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
P33324;126388.890625;138949.03125;213093.53125;172261.53125;279686.15625;278912.125;335397.8125;288243.53125
P33327;70793.2890625;85952.3125;85728.125;59161.3125;144169.78125;161893.03125;181980.609375;149483.09375
P33328;134185.484375;163362.609375;185058.3125;154508.0625;253043.375;222710.53125;132863.296875;224587.28125
P33329;36580.3359375;48520.76953125;33996.83984375;47590.1015625;32353.66796875;30027.142578125;35520.73046875;41969.6953125
P33330;799134.625;896261.25;859685.0625;873191.6875;1083701.5;1041848.8125;1030459.75;1035081.125
P33331;3079432.75;3012551.25;2590633.25;2952965.25;2445597.25;2292522.25;2301874;2448247.5
P33332;217677.84375;223678.5625;222021.28125;255021.453125;181500.640625;193586.671875;230652.09375;218746.703125
P33333;331077.84375;364402.34375;385454.125;317424.03125;413584.125;403516.96875;459387.5625;447864
P33334;34049.09765625;24714.439453125;37401.25390625;33773.859375;73176.2578125;48252.84765625;81376.296875;127269.9140625
P33336;57423.015625;79072.8828125;66553.6171875;58979.26953125;49256.87109375;41555.328125;39373.375;38570.76171875
P33338;367312.21875;387729.03125;389763.90625;364919.78125;432756.3125;417758.71875;430447.25;449007.65625
P33339;111802.8671875;68744.984375;120050.1328125;190677.46875;90809.4453125;120734.015625;136017.484375;125600.6875
P33399;572330.1875;499894.75;483809.5;516869.875;497527.25;475106.40625;482876;455253.5
P33401;877853.125;844397.6875;765156.8125;667976.375;941166;830055.875;867781.5625;728219.5
P33412;22802.666015625;27597.291015625;26954.99609375;25428.396484375;49321.453125;42484.68359375;42299.88671875;55221.7578125
P33416;447345.9375;485929.53125;527246.125;582841.4375;577653.0625;613165.1875;612510.1875;614954.8125
P33417;19526.146484375;28000.833984375;20974.958984375;20360.78125;30413.544921875;32910.1796875;30303.099609375;30889.623046875
P33418;0;0;0;0;8163.93603515625;11376.4375;19344.896484375;15741.646484375
P33419;0;0;0;0;18762.24609375;14665.162109375;16098.4111328125;14349.267578125
P33421;448710.0625;566699.875;513898.40625;490472.8125;444441.8125;361437.34375;422334.9375;394644.21875
P33441;68401.96875;62463.515625;50807.1015625;55582.86328125;60474.91015625;54109.7109375;57427.98828125;58211.13671875
P33442;26572884;24448310;23843272;23064902;23110480;22671090;21180008;24663578
P33448;50908.6875;106799.5703125;103798.4296875;34642.96875;166329.328125;105259.5625;79333.6015625;154574.25
P33734;572969.75;647945.5;610387.125;573597.25;837604.5;771874.8125;766770.25;766428.3125
P33748;107152.1328125;92829.0078125;89744.8125;97777.1328125;79226.5078125;61060.1796875;82574.1875;71728.8671875
P33749;45158.58984375;32466.35546875;26293.697265625;30863.5859375;20527.990234375;14625.9833984375;23225.89453125;15172.7236328125
P33750;111427.453125;104833.9375;97101.9765625;104974.4296875;87055.1328125;83877.046875;75220.8515625;87262.625
P33753;40109.21484375;29361.076171875;37320.22265625;38429.1875;36128.47265625;42773.4140625;48680.87890625;45632.3359375
P33754;95896.359375;95731.0234375;125151.1953125;110509.109375;141517.859375;168543.40625;152981.59375;171872.875
P33755;64895.61328125;71510.734375;59654.53125;71601.265625;63449.4765625;65911.9765625;71845.7421875;67309.2265625
P33759;54650.984375;88700.484375;79311.625;93532.953125;70824.015625;80256.1640625;69864.859375;86674.578125
P33767;983553.75;825229.625;960177.5;954872.9375;926272.9375;946423.9375;967941.875;997688.1875
P33775;562487.9375;505152.0625;596682.0625;594062.375;702829.0625;710993.25;902759.375;804657.3125
P33891;31299.82421875;22167.111328125;37138.359375;36408.33203125;25590.09765625;29883.43359375;21150.431640625;37078.375
P33892;1463568.25;1296619.25;1530573;1438771.75;1667046.875;1715337;1849737.25;1944125.875
P33893;6285.75732421875;3725.73901367188;5265.7177734375;4925.2275390625;17166.2421875;18708.162109375;17749.60546875;18057.123046875
P33894;25946.62109375;25398.029296875;28329.732421875;36489.7421875;24003.154296875;29204.0234375;28698.55078125;35077.76953125
P33895;46611.390625;27895.546875;28537.87109375;0;45689.6171875;44164.37890625;47039.796875;43376.51953125
P34072;38207.24609375;43862.44921875;15125.5244140625;34633.43359375;16553.009765625;19804.228515625;24537.13671875;18896.8359375
P34077;134017.296875;127955.59375;170650.859375;154025.671875;141458.515625;166116.421875;172389.859375;181901.453125
P34078;84957.1328125;78786.328125;63634.5859375;72694.4765625;93548.0625;83195.8671875;76908.71875;79433.765625
P34087;133103.28125;88031.890625;142836.578125;115763.0078125;128345.953125;121207.359375;179418.375;178436.96875
P34110;111944.578125;77744.6953125;100935.828125;108761.1953125;77790.3125;84403.984375;101798.8359375;101559.3203125
P34111;41927.90625;25771.158203125;0;41560.78515625;13289.2861328125;13338.646484375;9487.5234375;13377.6982421875
P34160;462491.25;448674.375;485013.09375;491470.03125;536392.5625;576511.5625;629472.625;643154.1875
P34162;126654.390625;82660.7109375;130787.9453125;132159.875;83625.8203125;104238.6328125;119533.1953125;122244.3359375
P34163;65784.1328125;100683.0078125;86649.15625;66516.5078125;81736.046875;90491.9765625;87771.9609375;72750.6953125
P34167;2660818;2560171.5;2336603;2418164.75;2150077.5;2076415;2235571;2134538
P34216;916553.5625;1020109.25;904716.1875;974024.25;1023698.3125;964950.75;987528.875;943358.1875
P34217;307411.40625;271744.875;224138.359375;238640.421875;203388.953125;177266.875;181604.875;176036.484375
P34219;61969.58984375;43396.77734375;61091.97265625;46420.0390625;54925.17578125;53418.67578125;57729.23828125;65052.3984375
P34220;74867.78125;62412.859375;82616.65625;82799.7890625;84600.875;98175.7734375;118839.8046875;106674.4765625
P34221;294081.4375;313912.78125;386084.5;345359.46875;276355.0625;274567.5625;293814.34375;282336.78125
P34222;225803.640625;232694.109375;243297.828125;235772.0625;236700.65625;249703.03125;269199.90625;273169.6875
P34223;619669.375;603373.3125;541054.4375;541601.75;645681.5;586997.5;617022.5625;529245.875
P34226;64033.4375;53184.8125;65396.21875;57158.64453125;56210.859375;59898.60546875;68029.4765625;61111.4375
P34227;875139.625;1095323;996993.3125;1020321.25;1564314.5;1451879.5;1388580.5;1311059.25
P34232;87642.8046875;79627.703125;84838.125;115454.2421875;64142.296875;65956.796875;71318.09375;86043.8125
P34234;71236.1484375;80722.875;78632.2421875;63250.09765625;72916.6796875;43817.66015625;48821.82421875;60100.23828125
P34237;247983.203125;219245.390625;200252.3125;223381.015625;192871.828125;184036.453125;190290.640625;180147.65625
P34240;29716.220703125;28742.466796875;30470.2890625;28202.4375;23201.796875;20180.84765625;23675.302734375;23617.78515625
P34241;110984.3828125;78096.265625;111286.8515625;85958.046875;94661.5703125;102630.0703125;127381.3984375;118556.9375
P34243;38459.0234375;44064.40625;50769.76171875;44274.359375;34284.640625;34492.12890625;40738.7578125;44525.359375
P34244;4964.6103515625;10303.2568359375;5056.37841796875;25156.83984375;33034.328125;23324.4453125;28029.185546875;21794.1640625
P34247;192628.015625;169173.234375;155028.9375;155496.21875;132367.25;132011.125;131031.953125;138926.71875
P34248;75439.609375;91424.8671875;99954.3671875;85365.578125;150708.921875;142727.265625;140822.234375;160125
P34250;97924.2265625;89515.078125;58873.74609375;93575.6328125;55476.2421875;44414.59375;39491.8046875;66532.1015625
P34253;73266.8984375;49439.7734375;66730.3046875;55676.34765625;46082.76953125;32455.5859375;35577.515625;47015.73828125
P34730;3201981.25;2743564.75;3042157.75;3166482.75;2696271.25;2879090.5;3111672.75;2921469.75
P34758;0;17759.720703125;7808.939453125;20933.30859375;15136.908203125;14983.291015625;14791.47265625;11874.87109375
P34760;11080714;10853627;10526054;10674634;14424121;13374812;13159280;13108737
P34761;186030.25;174175.828125;172303.546875;167285.578125;120013.890625;124038.359375;131710.765625;117264.8984375
P34909;240189.546875;206132.03125;201515.859375;229055;187824.859375;187161.671875;184951.5625;209590.5625
P35127;100294.53125;82916.8828125;107807.328125;101884.109375;98475.59375;109327.8125;104285.9765625;107045.0078125
P35169;34579.23046875;30942.18359375;33539.70703125;41592.35546875;30697.19921875;36739.515625;40273.3203125;41700.05859375
P35176;1085465.5;1200571;1044970.0625;1091766.75;1281080.625;1176559.625;1208801.25;1191150.875
P35177;17665.732421875;49479.6484375;17415.078125;26099.681640625;41268.55859375;36289.21875;27880.298828125;37728.25390625
P35178;103276.078125;108531.6875;93125.265625;97449.0390625;126270.65625;107174.8984375;105451.7109375;138532.734375
P35179;5012038.5;4346118.5;3831791;4123840.25;3816589.5;3566625.75;3287749;3452561.5
P35180;457727.28125;521615.40625;530165.75;497802.59375;470676.40625;450988.65625;449335;475074.71875
P35181;138987.609375;99472.7578125;118904.46875;130304.40625;130832.71875;118060.3984375;122709.78125;148753.21875
P35182;43317.5546875;20461.853515625;49321.3984375;40933.8046875;37886.1953125;25796.966796875;40214.6171875;34992.96484375
P35183;68597.0859375;74626.078125;69013.8828125;74558.453125;47862.2265625;45947.76171875;43930.93359375;42928.17578125
P35184;205605.59375;162329.875;258288.96875;257859.28125;313436.625;326265.625;425299.78125;420003.125
P35189;262211.53125;218135.296875;230304;247029.03125;235699.765625;245675.234375;222747.984375;220211.890625
P35191;114842.3046875;118528.328125;106438.40625;117884.8359375;128735.703125;134759.359375;112935.1640625;121678.6953125
P35193;61027.18359375;39646.08203125;46216.5;136630.65625;36861.296875;64949.63671875;79810.2109375;82470.078125
P35194;77724.3046875;65219.375;87503.625;73927.421875;100380.328125;111546.8125;152169.953125;143996.296875
P35195;741542.3125;917575.9375;831013.4375;929382.3125;1284406;1449998.625;1216669.375;1740057.75
P35197;889868.375;799894.3125;729591;806888.125;605465.5;521789.53125;533926;571266.125
P35202;62444.79296875;52878.1640625;75382.875;62855.26953125;47771.1796875;60103.64453125;66272.2109375;65487.015625
P35207;152312.46875;149345.03125;146261.421875;160111.140625;172488.71875;172787;182026.234375;203723.625
P35688;68771.5859375;60642.0390625;50676.21875;54310.0703125;44487.1171875;38496.6015625;43005.1328125;39728.2265625
P35691;4970140;4908296.5;4351283.5;4780258.5;5239441;5216398;5368681;5357590.5
P35718;77168.59375;71049.3359375;65370.74609375;69398.0078125;126651.1875;97555.28125;115983.671875;93178.1640625
P35719;1697326.625;1593752.5;1523867;1708286.75;1653677.625;1522245.5;1656545.375;1474270.625
P35723;517823.25;570920.375;551086.1875;562811.375;673874.375;707076.875;665677.25;682501.8125
P35724;46639.39453125;59894.33984375;62240.05078125;32843.1328125;91152.2578125;55829.49609375;25055.611328125;69950.0703125
P35725;85214.9453125;83517.359375;72918.3359375;67008.875;76892.3828125;55541.41796875;63059.2734375;62903.30859375
P35728;25920.166015625;23238.15234375;33540.63671875;47766.26953125;18606.69921875;19145.52734375;17879.482421875;21224.7109375
P35729;36024.1484375;25141.42578125;37334.3671875;40716.015625;35542.0078125;36289.84375;45451.37890625;45978.5703125
P35732;454224.03125;463475.96875;394339;433515.53125;422848.34375;428040.6875;417428.78125;422324.59375
P35734;91340.875;88920.671875;81157.875;92208.1015625;66513.125;55400.66015625;71748.6875;72924.84375
P35735;17594.310546875;15107.529296875;18558.166015625;29697.08984375;21164.521484375;29728.53125;27894.564453125;38296.48828125
P35817;128663.9140625;140330.984375;125635.328125;128943.6484375;106835.1796875;101667.8359375;97051.03125;112353.8046875
P35844;638095.125;641070.4375;602655.5625;685042.0625;849169.25;880054.3125;879996.1875;869603.4375
P35845;158085.671875;176313.828125;166294.421875;162055.203125;147984.125;136320.578125;147108.9375;138045.390625
P35996;101916.203125;90773.6796875;94495.53125;107535.8359375;99949.078125;94260.2109375;96773.09375;94343.515625
P35999;52631.94921875;47945.8984375;139056.375;55301.52734375;42392.50390625;39178.99609375;35687.046875;49725.21484375
P36000;88640.953125;86493.8515625;111922.578125;91861.75;82957.6171875;88083.6640625;95325.3203125;100436.828125
P36004;150823.703125;189864.3125;207960.828125;178962.078125;169649.359375;153003.328125;143700.859375;152626.8125
P36006;213926.140625;218183.40625;230891.03125;251587.765625;231717.34375;234305.46875;223417.328125;225485.421875
P36007;87717.9921875;101134.4765625;82321.78125;89683.390625;90486.1875;98233.1640625;86309.9375;100997
P36008;6380554.5;5202161.5;5878555.5;5897996.5;6610770;6814720.5;6919331.5;7114442.5
P36009;31381.603515625;33550.4296875;35209.2578125;36919.3515625;26517.01953125;31442.05859375;33889.01953125;41643.80859375
P36010;3040994.25;3270822.5;3648109.5;3170273;4089499;4311651.5;4958808.5;5018254
P36013;746298.875;773282.6875;729108.875;657467.8125;951676.1875;950699.5625;939483.75;959052.4375
P36015;761387.75;710043.875;748892.9375;728659.8125;859424.9375;889208.875;887044.125;786174.75
P36016;429564.65625;396059.125;390229.625;411467.53125;508619.53125;470125.46875;459752.46875;445878.03125
P36017;291050.375;267858.09375;334334.40625;283074.78125;262033.6875;286037.28125;312665.1875;298142.125
P36018;516469.71875;550475.5;483659.40625;534203.125;601501.5;666890.125;557066.1875;617739.625
P36024;146253.796875;136159.25;120043.8359375;138607.09375;114487.2421875;117757.203125;129327.53125;124441.59375
P36027;135093.328125;125845.03125;113714.0078125;124983.15625;155528.890625;148321.203125;142097.328125;89960.8671875
P36029;12490.5068359375;10875.1904296875;14905.353515625;14729.66796875;29236.994140625;28072.486328125;68325.7578125;48276.10546875
P36036;270290.0625;324853.5625;233734.984375;235285.546875;262771.53125;219841.234375;245956.953125;272288.84375
P36037;50221.16796875;61881.50390625;57494.48046875;46625.15234375;86136.0546875;90910.625;89852.859375;90259.21875
P36040;100824.7265625;86895.7734375;98137.21875;97931.109375;65037.21484375;71568.8671875;78671.171875;78296.59375
P36041;212046.203125;213938.890625;164080.34375;192501.484375;183609.46875;187517.6875;187856.59375;167765.328125
P36046;317708.90625;385326.46875;277398.875;341538.8125;378396.65625;368871.46875;398879.5;386525.65625
P36047;183701.40625;193326.515625;215084.390625;224179.546875;260734.328125;294686.65625;305245.71875;301401.53125
P36048;171203.25;162637.453125;189284.796875;190070.203125;167721.96875;185380.015625;176799.9375;184504.640625
P36049;332496.96875;292210.59375;277491.375;283268.4375;307567.8125;332691.15625;315628.46875;330322.34375
P36051;99907.640625;83018.71875;101416.203125;65683.5234375;179983.15625;162060.84375;201493.578125;199133.4375
P36053;247722.703125;214559.078125;238070.21875;229428.265625;219940.0625;192863.28125;236197.75;192866.703125
P36054;47503.21484375;50170.70703125;48045.421875;58273.1875;47735.33984375;62061.6171875;48629.9140625;82833.7734375
P36057;112041.0078125;100110.296875;102115.1171875;117388.6640625;87293.703125;86730.96875;84030.25;102882.328125
P36059;180238.78125;182562.5;189542.328125;207834.65625;234678.578125;226357.390625;220772.71875;246440.640625
P36060;454526.09375;666866.8125;713977.8125;632276.875;1304942.625;1364830.5;1394623;1236811.75
P36062;34956.14453125;57780.16015625;51005.37890625;29497.38671875;33996.9296875;19385.111328125;33105.1484375;29830.396484375
P36064;57258.4609375;68066.5859375;61097.35546875;73167.34375;65624.8359375;51909.33203125;45217.5390625;45952.8828125
P36068;14110.595703125;26060.638671875;41129.0234375;23595.708984375;49526.43359375;41905.42578125;50576.98828125;69105.7890625
P36069;155546.65625;157571.09375;184678.921875;151678.0625;212937.53125;200253.484375;199495.046875;205137.765625
P36076;131599.953125;133794.125;119070.3828125;142844.6875;113251.328125;110308.875;113568.703125;116784.203125
P36077;12581.7197265625;14967.9306640625;30653.07421875;35418.73828125;96202.109375;77622.5;94159.6875;82163.96875
P36080;209512.40625;171812.890625;152667.21875;171066.34375;166994.328125;166478.78125;168335.984375;147615.28125
P36081;301241.71875;298460.6875;289299.8125;316033.1875;338506.8125;317630.90625;329580.75;323217.21875
P36084;61519.25;50180.44140625;47829.2578125;65634.5234375;12330.8681640625;16677.994140625;17213.255859375;17684.65234375
P36088;59455.5859375;62026.8984375;95307.796875;70544.7734375;90628.3125;102367.1015625;112759.140625;153375.59375
P36090;69628.859375;73204.3828125;69179.8359375;66642.578125;57880.75;57789.19140625;63467.8046875;72079.203125
P36091;120967.4140625;101554.7109375;141457.0625;137979.046875;119763.203125;115511.1015625;138363.609375;124388.8203125
P36094;44311.44140625;44205.515625;32841.77734375;46304.3125;35178.5;37552.61328125;38715.890625;36942.453125
P36095;82765.96875;81526.5703125;64911.9453125;91292.2265625;82288.3515625;73374.578125;67555.1328125;72610.0546875
P36100;55320.7109375;56010.5859375;59973.33984375;68304.296875;68133.171875;75039.671875;65153.4765625;74004.3046875
P36101;142443.734375;134585.5625;144878.625;125603.8203125;130562.0234375;133376.734375;166013.5;183726.5625
P36102;105222.5390625;95078.734375;99362.7578125;82399.0390625;104930.3828125;104734.046875;110695.7109375;104203.328125
P36103;23099.20703125;21937.369140625;14475.3154296875;31396.732421875;12540.3525390625;14980.1787109375;17462.5234375;21401.658203125
P36104;78655.1796875;70901.1328125;93163.5390625;68386.8359375;78131.0078125;75264.109375;63681.16015625;80197.1328125
P36105;9229759;7980675;9587234;8400429;8103320.5;8486310;8785220;9116956
P36106;49191.10546875;41704.4921875;23984.65625;59197.30859375;43983.4375;43236.72265625;41997.046875;36461.3359375
P36108;82820.1171875;72183.296875;81796.0703125;114743.6796875;17569.119140625;37569.4140625;39126.5703125;47350.2578125
P36110;0;0;0;0;67368.8984375;62018.47265625;56884.5625;49640.41796875
P36112;157503.296875;169122.703125;150851.046875;154294.40625;178732.671875;181522.859375;194394.734375;180680.9375
P36114;677592.3125;632190;721506.9375;662699.375;634719.3125;644309.8125;644825.375;649342.625
P36116;0;0;0;0;19892.115234375;20136.255859375;23680.84765625;21272.384765625
P36117;95952.5546875;81893.9140625;82882.1640625;87512.7578125;40929.8671875;40167.359375;41880.8984375;33166.44921875
P36119;31186.47265625;31389.166015625;26320.169921875;26529.412109375;26770.359375;28390.28515625;26715.548828125;30839.1953125
P36120;66046.2578125;64057.49609375;61569.02734375;65383.8671875;47120.84375;47247.53125;54852.5859375;59106.078125
P36121;175843.296875;168257.546875;133690.1875;143014.515625;150784.5625;138699.5;142569.46875;138231.25
P36123;79763.9453125;80702.71875;83336.9140625;96779.3515625;98948.953125;89527.109375;90030.0234375;90109.4921875
P36124;46707.16015625;39941.2890625;48050.62109375;43972.31640625;33553.7734375;33917.7890625;30723.240234375;32151.9453125
P36126;33779.65234375;32233.580078125;35923.5546875;45066.078125;30389.59765625;30972.982421875;29080.5;30144.751953125
P36130;26067.609375;23814.73046875;28223.5703125;27693.298828125;30258.75390625;28704.177734375;30943.431640625;29087.998046875
P36131;2308168;2167320.75;2923786.25;2565795.25;2913643.5;2716332;2973966.25;3313294.5
P36132;78582.8984375;41997.671875;69287.0390625;65869.7109375;91596.6015625;148629.234375;99036.734375;124076.53125
P36135;416172.625;450172.25;402313.5;486017.25;350183.59375;350286.875;379930.9375;373426.59375
P36136;524192.09375;514550.59375;541464.6875;518339.0625;352376.1875;362541.59375;371869.5;369801
P36139;567774.3125;624783.375;651426.5;703060.4375;780837.6875;780027.75;744371.25;820702.4375
P36141;108118.046875;142947.90625;102183.796875;124095.453125;143143.421875;139503.390625;133449.015625;157067.234375
P36143;25027.25390625;35218.8671875;30431.638671875;31404.474609375;35710.41015625;33430.97265625;41977.3046875;33462.53125
P36144;17269.228515625;14137.380859375;13586.708984375;16988.70703125;42698.60546875;48924.296875;61606.48828125;67894.3046875
P36145;95322.6171875;96752.7734375;74588.53125;82141.390625;74567.78125;70138.609375;59269.421875;67580.9921875
P36146;21450.021484375;20279.517578125;15480.37109375;18926.5546875;40669.859375;41639.578125;43260.1484375;41925.44921875
P36147;79728.15625;67720.9140625;87692.359375;58915.27734375;168591.078125;172457.125;209978.15625;169598.390625
P36148;228074.078125;272109.53125;291859.21875;267382.875;365684.75;410839.9375;426262.59375;378596.8125
P36149;89145.796875;71373.5078125;91531.328125;85110.578125;75431.2265625;74492.890625;79562.8046875;70393.1875
P36151;278027.8125;303541.375;273144.9375;247473.296875;291088.375;262726.5625;263506.125;250011.0625
P36152;91631.9296875;62713.5390625;78392.1875;83431.2421875;101635.4609375;101112.375;96237.4921875;90394.625
P36154;215897.109375;227506.59375;235499.5;214982.5;367375.5625;383829.75;402018.96875;374476.8125
P36156;123163.453125;146370.9375;195444.40625;191621.609375;237438.75;246288.09375;292307.40625;280785.875
P36159;44301.14453125;26525.001953125;33596.6015625;57415.921875;32791.30078125;27311.888671875;57462.03515625;44760.9296875
P36160;123813.4375;100851.671875;99464.71875;96491.8203125;116101.125;107868.9921875;102070.015625;106882.0234375
P36161;100189.90625;86277.9296875;107134.359375;103194.4453125;116836.4765625;137141.5625;160327.890625;169993.171875
P36162;576435.625;349148;369213.625;386276.78125;327238.75;318919.28125;310917.8125;369014.9375
P36165;78478.0859375;72447.4140625;86949.359375;92613.7265625;67297.0390625;69743.671875;73517.5234375;73224.5078125
P36166;180179.09375;194468.84375;178748.046875;184767.546875;168746.703125;150453.1875;134283.078125;139764.265625
P36168;0;0;0;0;1620.23522949219;2644.08544921875;4515.798828125;2130.66357421875
P36169;67394.0546875;80327.25;59451.265625;89952.484375;51203.578125;37347.12109375;51845.8125;46493.9453125
P36421;1148955.375;1095364.625;1057391.75;1053791;1244995.875;1235181.875;1214600.875;1244045.125
P36516;59714.37109375;59587.6953125;49452.203125;52704.0390625;59302.08203125;70573.3671875;61616.3203125;61517.06640625
P36517;86606.6015625;131963.34375;134197.5625;112085.6171875;88161.953125;86132.328125;80331;111892.265625
P36519;50628.984375;35332.01171875;30716.814453125;58398.4765625;50108.7265625;49434.66015625;64035.51171875;59652.484375
P36520;84464.90625;89036.15625;78857.4375;67241.1484375;78465.5390625;72746;72630.390625;70884.0859375
P36521;22368.88671875;21967.69140625;22294.203125;18983.521484375;21408.63671875;28376.123046875;23813.0390625;27272.26953125
P36523;95974.6953125;81020.4296875;90229.2890625;90773.421875;82738.203125;86370.90625;80953.328125;94960.921875
P36525;35541.74609375;42362.23046875;33650.4921875;33380.40234375;49871.30078125;43418.18359375;41401.734375;51744.98828125
P36526;20385.45703125;22880.447265625;29547.142578125;25724.841796875;23417.908203125;24805.498046875;24685.525390625;19960.16015625
P36527;170268.953125;203517.46875;195942;194490.640625;96704.8125;56551.3203125;133719.71875;141026.875
P36528;73244.9765625;75344.6484375;82820.2109375;83600.734375;76791.515625;80005.625;68177.5625;83749.1953125
P36532;0;0;0;0;26315.361328125;22144.32421875;23098.7734375;19719.83203125
P36533;95059.125;98983.6171875;128541.9375;107429.1953125;74519.3671875;78961.7109375;92500.5234375;90218.65625
P36534;122490.359375;131027.28125;114371.84375;98981.984375;97040.8359375;87702.8203125;90155.7578125;85180.1640625
P36775;262778.78125;265281.34375;273989.4375;271418.0625;317083.28125;325334.40625;315049.40625;327585.625
P36973;44979.8046875;28467.642578125;38472.41796875;40829.8828125;52733.5;60354.8203125;74213.2265625;65719.5390625
P37012;3164712.25;4644269;5021466.5;4300346.5;9557789;9723365;10137852;9394758
P37020;11850.03125;12294.01171875;17185.00390625;13336.51171875;16728.353515625;18738.037109375;33919.40625;28926.982421875
P37254;38089.77734375;35342.51953125;45156.20703125;42592.66796875;59339.890625;64053.984375;58928.46875;60328.6328125
P37262;109271.015625;104083.34375;114451.359375;102396.59375;136970.703125;124195.78125;125691.3359375;120226.3359375
P37263;250717.609375;195228.109375;181179.9375;212504.359375;215769.4375;222775.71875;203644.828125;207557.25
P37267;103178.0390625;170665.8125;164039.46875;112920.6640625;138448.078125;120416.484375;87879.3203125;99668.796875
P37291;4240258;4803923;4734825.5;4340580.5;5544316.5;5222617;4908744;5101398.5
P37292;953085.9375;1019884.6875;937355;941021.0625;1175984.875;1090764.875;1104581.375;1140998.375
P37293;29222.36328125;24802.53515625;27659.3046875;18710.279296875;26917.2421875;30912.572265625;23374.9140625;26064.375
P37296;262514.375;240863.671875;275822.78125;240569.015625;209035.609375;188157.546875;202926.390625;229746.578125
P37297;57844.8984375;44200.98828125;40624.28125;74465.6640625;33049.15234375;35349.28125;48285.125;53699.87109375
P37298;0;0;0;0;35662.9921875;44944.6171875;43854.5078125;38393.640625
P37299;142768.265625;169728.234375;203198.546875;151265.9375;184996.453125;205895.765625;221330.015625;195777.03125
P37302;6967197.5;8761014;8669182;9737490;8928336;8588179;8711954;8525507
P37303;1010748.0625;824046.5625;1043898.625;1017053.5;1025326.375;1183078.5;1237036.25;1253176.875
P37304;193928.359375;197714.1875;168795.03125;173353.34375;212070.90625;197132.109375;210317.640625;195001.640625
P37366;30859.041015625;33453.3671875;30251.279296875;27497.806640625;22981.1328125;29031.37890625;22120.375;27358.826171875
P37370;180345.359375;159091.390625;153699.453125;169195.890625;145640.671875;129745.203125;148371.984375;125040.65625
P37838;362060.75;339273.34375;326914.46875;323767.53125;337058.53125;316571.34375;324124.15625;352146.8125
P37898;245205.234375;207024.609375;269827.90625;251949.90625;256957.390625;285742.71875;302965.125;290255.59375
P38009;2026274.5;2272784.75;2173232.25;2043558.875;2415978;2161671.5;2025772.5;2096963.25
P38011;5818449;7807899.5;8028344.5;5827344;8427258;9548985;11097945;10161810
P38013;36365912;34557804;41120708;38836488;49627624;47563172;53278400;48721632
P38041;131014.2265625;114530.6953125;100474.78125;115637.4375;71844.171875;75579.59375;83375.625;75366.1015625
P38042;35234.4375;33647.30859375;28315.123046875;36108.171875;22509.3984375;16368.9189453125;22872.390625;19534.953125
P38061;12149469;11048097;10258139;10629856;9490703;9404834;9127636;9307369
P38063;255698.75;195920.34375;229539.234375;239688.375;308953.75;288575.15625;289825.34375;308977.0625
P38064;40466.47265625;39213.57421875;41216.0703125;38668.43359375;37197.8359375;31044.302734375;31348.751953125;34209.52734375
P38065;30137.875;23399.677734375;34409.11328125;34721.421875;24699.37109375;27779.23046875;30991.58984375;33378.44921875
P38066;120752.3046875;110445.890625;110967.3046875;108039.4296875;96575.9296875;90650.4765625;81907.2890625;87755.21875
P38067;284821.25;346245.90625;419917.6875;373585.4375;404284.5625;441465.71875;472058.53125;447162.875
P38068;251761.84375;207029.28125;190234.75;242031.859375;243181.28125;213720.046875;215595.59375;194416.40625
P38069;265364.375;266855.28125;269151.4375;272462.71875;247274.515625;251824.046875;244665.28125;262980.09375
P38070;30352.2734375;25533.24609375;19847.064453125;18377.931640625;20523.9296875;25973.765625;21959.369140625;16474.119140625
P38071;485776.15625;509052.09375;557748.625;536801.625;567436.6875;576518.3125;557145.9375;539151.375
P38074;221670.53125;189853.359375;221382.84375;208214.03125;312466.21875;342560.125;340541.125;335031.375
P38075;1116076.25;1225743.5;1274705.875;1228730;1175156.75;1256495.625;1187426;1310861.625
P38077;614434.4375;692134.125;693458.0625;698825.0625;787060.0625;751187.25;773510;831457.6875
P38079;1268347;1836569.875;2064646.625;1981775;1369038.75;1626251.875;1835311.5;1913345
P38080;107324.7890625;113793.9296875;115135.53125;123036.921875;144247.1875;131078.125;133787.171875;121769.546875
P38081;288296.1875;317212.375;361153.90625;367610.0625;366871.59375;387383.9375;384109.21875;395893.0625
P38084;46776.68359375;38809.328125;45920.0390625;39223.921875;57773.18359375;35773.61328125;48887.01953125;49511.12109375
P38085;80272.546875;54922.60546875;64186.93359375;60969.92578125;54866.4375;45352.24609375;46567.7109375;50938.17578125
P38086;116176.4609375;82219.6484375;83058.515625;91262.09375;64998.1640625;59760.78125;65139.14453125;75621.7578125
P38088;3718136;3579093.5;3332370.5;3398695.75;3279192.5;3244190;3109222.75;3208302.75
P38089;80317.375;69448.2890625;74475.640625;63154.08984375;54315.3359375;45362.171875;51501.58984375;63492.1953125
P38090;0;13828.892578125;18154.640625;21676.224609375;27011.875;24607.615234375;19391.6796875;24018.626953125
P38109;307230.4375;315816.875;301497;323250.71875;277555.4375;274171.4375;283084;267916.25
P38112;158500.65625;143223.75;146019.71875;140040.828125;138037.6875;122710.8984375;121244.40625;135766.203125
P38113;104792.4375;97983.53125;108872.3203125;106828.90625;87807.625;95178.5390625;94496.2109375;94417.4765625
P38115;1320543.25;1469879.5;1689408.5;1599958;1814083.875;1972965.125;2194580.5;2198745
