Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
P00927;788758.5;770712.125;802242.625;739836.625;750881.875;828916.5;812738.5;860823.4375
P00931;2565560.25;2398911.5;2723924.75;2608602;2857414.25;2852528.25;3071419;3153770.25
P00937;577671.5625;615533.5;697825.4375;628595.625;695878.5625;754837.4375;747323;796215.6875
P00942;26612846;29303062;29411586;28887784;28448584;24212152;27630366;25789884
P00950;56926488;57936296;50725140;49197724;73506128;64989436;65242176;62817608
P00958;1716619;1678827;1784815.25;1659470.375;2270094.75;2270356.75;2210695.75;2401126.25
P01094;188956.375;360958.0625;317029.96875;349199.03125;362623.03125;364856.5;376857.78125;359933.78125
P01097;234588.8125;320192.90625;318514.84375;335424.3125;288421;320555.21875;368925.875;343350
P01098;505303.34375;636808.0625;518294.8125;638972.1875;788003.875;755621.4375;789316.1875;696800.9375
P01119;279486.5;243176.875;242777.734375;275361.875;185989.96875;180956.515625;195554.140625;182016.265625
P01120;936889.5625;963658.25;995754.375;910002.4375;904683.75;777931.1875;885924.75;822436.5
P01123;748861.625;828354.375;964713.75;832193.9375;1565788.875;1531543;1669080.875;1746867.5
P02293;11526495;10422023;9532466;9873768;6580977.5;6522458;6819512.5;6847175.5
P02294;375135.6875;340604.5625;350142.03125;298385.59375;237061.875;284053.75;219988;267845.625
P02309;2985078;2134061.5;2427112.75;2688539.25;1386079.875;1335077.75;1509162.25;1326654.125
P02400;3249606.75;4146858;3238617.25;4007036.25;18053752;15664765;18444174;17130606
P02406;14812196;12240067;11243541;11868227;38426984;39835868;42681252;37685148
P02557;3135022.25;3217235.25;3203470.5;2824405.25;2289383.5;2223401.75;2154318.75;2326052.25
P02829;25772466;28903708;27254714;25402320;32715224;30997434;28559394;30744454
P02992;628858;728159.375;733246.4375;659994.0625;597365.875;641670.375;590377;651720.3125
P02994;77310912;76539088;75664056;73847200;90417968;90071464;83650912;92381496
P03871;73315.15625;71256.203125;101062.765625;80526.6015625;52583.08984375;30953.76171875;85911.890625;83691.8046875
P03872;284854.25;112990.5546875;213116.1875;154080.125;219087.875;113507.5234375;223049.234375;149013.78125
P03874;53791.01953125;55115.2578125;41766.7734375;44874.03515625;41186.33203125;34632.1640625;41352.88671875;37227.66015625
P03965;1448522.875;1244488.75;1677079.25;1368794.875;1692310.375;1815022.75;1993444.625;1920873.125
P04037;898303.6875;1053609;940513.1875;905356.5625;947327.6875;976985.9375;1070911;852348.8125
P04046;1041273.25;1112616.125;1000378.8125;967317.6875;925621.1875;856800.1875;850385.5;892518.5625
P04050;641332.3125;606234;610471.75;589727.5625;601873.375;616551.1875;631394.25;627738.75
P04051;156792;133251.15625;133625.984375;131669.9375;122508.1015625;118948.0703125;123718.59375;118936.7109375
P04076;1349605.375;1442160.5;1598106.375;1442992;1216836.875;1294374.25;1240648.875;1385067.75
P04147;8115925.5;7517652;6922878.5;7166187;7293444.5;6634718.5;6767665.5;6649092.5
P04161;238863.4375;183221.15625;188986.015625;208579.078125;156956.53125;144939.203125;139836.734375;150510.03125
P04449;18049772;15971286;14159976;14069487;12386732;11519075;10583441;10539769
P04456;14265985;15977589;16952096;13292762;16749271;15013451;15576071;15582557
P04650;4341677;4045998.5;3902442;3597182.5;3421348;2943931.5;3481467.75;3252523.5
